,School,Type,Grades,Total students enrolled,Students per teacher,District,Score,Rating,Address,Length
2590,Margaret Hedrick Elementary School,Public district,K-6,551.0,31:1,El Centro Elementary School District,5,Average,"550 South Waterman Avenue, El Centro, CA, 92243",2
2591,Kennedy Middle School,Public district,7-8,400.0,21:1,El Centro Elementary School District,5,Average,"900 North Sixth Street, El Centro, CA, 92243",2
2592,Martin Luther King Jr. Elementary School,Public district,K-6,446.0,25:1,El Centro Elementary School District,5,Average,"1950 Villa Avenue, El Centro, CA, 92243",2
2593,Lincoln Elementary School,Public district,K-6,390.0,23:1,El Centro Elementary School District,5,Average,"200 North Twelfth Street, El Centro, CA, 92243",2
2594,McKinley Elementary School,Public district,K-6,502.0,24:1,El Centro Elementary School District,4,Below average,"1177 North Eighth Street, El Centro, CA, 92243",2
2595,Washington Elementary School,Public district,K-6,405.0,24:1,El Centro Elementary School District,4,Below average,"223 South First Street, El Centro, CA, 92243",2
2596,Wilson Jr. High School,Public district,7-8,685.0,25:1,El Centro Elementary School District,4,Below average,"600 South Wilson, El Centro, CA, 92243",2
2597,Meadows Elementary School,Public district,K-8,492.0,22:1,Meadows Union Elementary School District,3,Below average,"2059 Bowker Road, El Centro, CA, 92243",2
2598,Ballington Academy For The Arts And Sciences,Public charter,K-6,319.0,19:1,El Centro Elementary School District,3,Below average,"1525 West Main Street, El Centro, CA, 92243",2
2599,Imperial County Special Education School,Public district,K-12,423.0,12:1,Imperial County Office Of Education School District,1,Below average,"1398 Sperber Road, El Centro, CA, 92243",2
2600,Imperial Pathways Charter,Public charter,9-12,148.0,,Imperial County Office Of Education School District,1,Below average,"1398 Sperber Road, El Centro, CA, 92243",2
2608,Mission Early College High SchoolTexas,Public district,9-12,468.0,20:1,Socorro Independent School District,10,Top rated,"10700 Gateway Blvd E, El Paso, TX, 79927",2
2609,Silva Health Magnet High SchoolTexas,Public district,9-12,721.0,16:1,El Paso Independent School District,10,Top rated,"121 Val Verde Street, El Paso, TX, 79905",2
2610,Tippin Elementary School,Public district,PK-5,563.0,16:1,El Paso Independent School District,9,Above average,"6541 Bear Ridge Drive, El Paso, TX, 79912",2
2611,Valle Verde Early College High SchoolTexas,Public district,9-12,389.0,17:1,Ysleta Independent School District,9,Above average,"919 Hunter Drive, El Paso, TX, 79915",2
2612,Northwest Early College High School (NechsTexas,Public district,9-12,356.0,19:1,Canutillo Independent School District,9,Above average,"6701 S Desert Blvd, El Paso, TX, 79932",2
2613,Vista Del Futuro Charter School,Public charter,K-6,338.0,11:1,Vista Del Futuro Charter School,9,Above average,"7310 Bishop Flores Drive, El Paso, TX, 79912",2
2614,Transmountain Early College High SchoolTexas,Public district,9-12,454.0,20:1,El Paso Independent School District,9,Above average,"9570 Gateway N Blvd Ec, El Paso, TX, 79924",2
2615,Hornedo Middle School,Public district,6-8,1304.0,20:1,El Paso Independent School District,9,Above average,"6101 High Ridge Drive, El Paso, TX, 79912",2
2616,Young Women's Leadership Academy,Public district,6-8,334.0,,Ysleta Independent School District,9,Above average,"7615 Yuma Drive, El Paso, TX, 79915",2
2617,IDEA Edgemere College Prep,Public charter,6-7,,,,9,Above average,"15101 EDGEMERE BLVD, El Paso, TX, 79938",2
2618,O'shea Keleher Elementary School,Public district,PK-5,893.0,21:1,Socorro Independent School District,9,Above average,"1800 Leroy Bonse Drive, El Paso, TX, 79936",2
2619,Ramona Elementary School,Public district,PK-6,293.0,13:1,Ysleta Independent School District,9,Above average,"351 Nichols Road, El Paso, TX, 79915",2
2620,Vista Hills Elementary School,Public district,PK-6,653.0,15:1,Ysleta Independent School District,9,Above average,"10801 La Subida Drive, El Paso, TX, 79935",2
2621,Tierra Del Sol Elementary School,Public district,PK-6,718.0,16:1,Ysleta Independent School District,9,Above average,"1832 Tommy Aaron Drive, El Paso, TX, 79936",2
2622,North Star Elementary School,Public district,PK-6,478.0,13:1,Ysleta Independent School District,9,Above average,"5950 Sean Haggerty Drive, El Paso, TX, 79924",2
2623,John Drugan School,Public district,PK-8,1150.0,18:1,Socorro Independent School District,9,Above average,"12451 Pellicano Drive, El Paso, TX, 79928",2
2624,Marguerite J Lundy Elementary School,Public district,PK-5,725.0,16:1,El Paso Independent School District,8,Above average,"6201 High Ridge Drive, El Paso, TX, 79912",2
2625,Harmony Science Academy (El Paso)Texas,Public charter,K-12,789.0,14:1,Harmony Science Acad (El Paso),8,Above average,"9405 Betel Drive, El Paso, TX, 79907",2
2626,Congressman Silvestre & Carolina School,Public district,PK-5,667.0,17:1,Canutillo Independent School District,8,Above average,"7965 Artcraft Rd, El Paso, TX, 79932",2
2627,Coldwell Elementary School,Public district,PK-5,467.0,15:1,El Paso Independent School District,8,Above average,"4101 Altura Avenue, El Paso, TX, 79903",2
2628,Hawkins Elementary School,Public district,PK-5,298.0,14:1,El Paso Independent School District,8,Above average,"5816 Stephenson Avenue, El Paso, TX, 79905",2
2629,Hughey Elementary School,Public district,PK-5,576.0,17:1,El Paso Independent School District,8,Above average,"6201 Hughey Circle, El Paso, TX, 79925",2
2630,Green Elementary School,Public district,PK-5,399.0,13:1,El Paso Independent School District,8,Above average,"5430 Buckley Drive, El Paso, TX, 79912",2
2631,Polk Elementary School,Public district,PK-5,649.0,16:1,El Paso Independent School District,8,Above average,"940 Belvidere Street, El Paso, TX, 79912",2
2632,Mitzi Bond Elementary School,Public district,PK-5,620.0,15:1,El Paso Independent School District,8,Above average,"250 Lindbergh Avenue, El Paso, TX, 79932",2
2633,Elizabethtown High School,Public district,9-12,762.0,18:1,Elizabethtown Independent,9,Above average,"620 North Mulberry Street, Elizabethtown, KY, 42701",4
2634,Heartland Elementary School,Public district,PK-5,655.0,16:1,Hardin County,7,Above average,"2300 Nelson Drive, Elizabethtown, KY, 42701",2
2635,G C Burkhead Elementary School,Public district,PK-5,775.0,16:1,Hardin County,6,Average,"1323 Saint John Road, Elizabethtown, KY, 42701",2
2636,New Highland Elementary School,Public district,PK-5,482.0,15:1,Hardin County,6,Average,"110 West A Jenkins Road, Elizabethtown, KY, 42701",2
2637,John Hardin High School,Public district,9-12,855.0,18:1,Hardin County,5,Average,"384 West A Jenkins Road, Elizabethtown, KY, 42701",4
2638,Morningside Elementary School,Public district,1-5,435.0,17:1,Elizabethtown Independent,5,Average,"313 Morningside Drive, Elizabethtown, KY, 42701",2
2639,Talton K Stone Middle School,Public district,6-8,574.0,15:1,Elizabethtown Independent,5,Average,"323 Morningside Drive, Elizabethtown, KY, 42701",2
2640,Lincoln Trail Elementary School,Public district,PK-5,490.0,16:1,Hardin County,5,Average,"3154 Bardstown Road, Elizabethtown, KY, 42701",2
2641,Helmwood Heights Elementary School,Public district,1-5,415.0,15:1,Elizabethtown Independent,4,Below average,"307 Cardinal Drive, Elizabethtown, KY, 42701",2
2642,Bluegrass Middle School,Public district,6-8,550.0,18:1,Hardin County,3,Below average,"170 West A Jenkins Road, Elizabethtown, KY, 42701",2
2643,College View Campus,Public district,6-12,180.0,,Hardin County,1,Below average,"521 Charlemagne Boulevard, Elizabethtown, KY, 42701",2
2658,Mountain View Elementary School,Public district,K-6,577.0,19:1,Elko County School District,7,Above average,"3300 Argent Avenue, Elko, NV, 89801",2
2660,Elko High School,Public district,9-12,1262.0,22:1,Elko County School District,5,Average,"987 College Avenue, Elko, NV, 89801",2
2661,Flagview Intermediate School,Public district,5-7,706.0,19:1,Elko County School District,4,Below average,"777 Country Club Drive, Elko, NV, 89801",2
2662,Northside Elementary School,Public district,PK-6,425.0,15:1,Elko County School District,4,Below average,"1645 Sewell Drive, Elko, NV, 89801",2
2663,Southside Elementary School,Public district,PK-6,668.0,16:1,Elko County School District,4,Below average,"501 South 9th Street, Elko, NV, 89801",2
2664,Adobe Middle School,Public district,5-8,658.0,20:1,Elko County School District,3,Below average,"3375 Jennings Way, Elko, NV, 89801",2
2665,Northeastern Nevada Virtual Academy,Public district,K-12,34.0,,Elko County School District,2,Below average,"850 Elm Street, Elko, NV, 89801",2
2680,Windsor Elementary School,Public district,K-5,398.0,14:1,Elyria City Schools,8,Above average,"264 Windsor Drive, Elyria, OH, 44035",2
2681,Constellation Schools: Elyria Community Elementary,Public charter,K-8,489.0,13:1,Constellation Schools: Elyria Community Elementary,5,Average,"300 North Abbe Road, Elyria, OH, 44035",2
2682,McKinley Elementary School,Public district,K-5,322.0,18:1,Elyria City Schools,5,Average,"620 East River Street, Elyria, OH, 44035",2
2683,Oakwood Elementary School,Public district,1-5,279.0,16:1,Elyria City Schools,5,Average,"925 Spruce Street, Elyria, OH, 44035",2
2684,Prospect Elementary School,Public district,K-5,349.0,14:1,Elyria City Schools,5,Average,"1410 Prospect Street, Elyria, OH, 44035",2
2685,Westwood Middle School,Public district,6-8,410.0,16:1,Elyria City Schools,5,Average,"42350 Adelbert Street, Elyria, OH, 44035",2
2686,Crestwood Elementary School,Public district,K-5,435.0,14:1,Elyria City Schools,4,Below average,"42331 Griswold Road, Elyria, OH, 44035",2
2687,Northwood Middle School,Public district,6-8,449.0,16:1,Elyria City Schools,4,Below average,"700 Gulf Road, Elyria, OH, 44035",2
2688,Eastern Heights Middle School,Public district,6-8,433.0,14:1,Elyria City Schools,3,Below average,"528 Garford Avenue, Elyria, OH, 44035",2
2689,Ely Elementary School,Public district,K-5,411.0,18:1,Elyria City Schools,3,Below average,"312 Gulf Road, Elyria, OH, 44035",2
2690,Franklin Elementary School,Public district,PK-5,448.0,18:1,Elyria City Schools,3,Below average,"446 11th Street, Elyria, OH, 44035",2
2691,Elyria High School,Public district,9-12,1849.0,17:1,Elyria City Schools,2,Below average,"311 6th Street, Elyria, OH, 44035",2
2692,Life Skills Center Of Elyria,Public charter,9-12,108.0,24:1,Life Skills Center Of Elyria School District,1,Below average,"2015 West River Road North, Elyria, OH, 44035",2
2705,Chisholm High SchoolOklahoma,Public district,9-12,322.0,13:1,Chisholm School District,9,Above average,"4018 West Carrier Road, Enid, OK, 73703",2
2706,Chisholm Middle School,Public district,6-8,271.0,16:1,Chisholm School District,9,Above average,"4202 West Carrier Road, Enid, OK, 73703",2
2707,Glenwood Elementary School,Public district,PK-5,435.0,16:1,Enid School District,9,Above average,"824 North Oakwood Road, Enid, OK, 73703",2
2708,Hoover Elementary School,Public district,PK-5,349.0,15:1,Enid School District,9,Above average,"2800 West Maine Street, Enid, OK, 73703",2
2709,Pioneer-Pleasant Vale Elementary School,Public district,PK-6,298.0,12:1,Pioneer-Pleasant Vale School District,8,Above average,"6020 East Willow Road, Enid, OK, 73701",2
2710,Taft Elementary School,Public district,PK-5,316.0,17:1,Enid School District,8,Above average,"1002 Sequoyah Drive, Enid, OK, 73703",2
2711,Prairie View Elementary School,Public district,PK-5,507.0,20:1,Enid School District,7,Above average,"4700 West Willow Road, Enid, OK, 73703",2
2712,Coolidge Elementary School,Public district,PK-5,469.0,19:1,Enid School District,7,Above average,"1515 East Ash Avenue, Enid, OK, 73701",2
2713,Hayes Elementary School,Public district,PK-5,299.0,18:1,Enid School District,7,Above average,"2102 Beverly Drive, Enid, OK, 73703",2
2714,Monroe Elementary School,Public district,PK-5,366.0,15:1,Enid School District,7,Above average,"400 West Cottonwood Avenue, Enid, OK, 73701",2
2715,Garfield Elementary School,Public district,PK-5,561.0,17:1,Enid School District,6,Average,"400 North 7th Street, Enid, OK, 73701",2
2716,Dewitt Waller Ms,Public district,6-8,750.0,19:1,Enid School District,5,Average,"2604 West Randolph Avenue, Enid, OK, 73703",2
2717,Enid High School,Public district,9-12 & Ungraded,1910.0,18:1,Enid School District,5,Average,"611 West Wabash Avenue, Enid, OK, 73701",2
2718,Longfellow Middle School,Public district,6-8,566.0,18:1,Enid School District,3,Below average,"900 East Broadway Avenue, Enid, OK, 73701",2
2719,Emerson Middle School,Public district,6-8,403.0,18:1,Enid School District,3,Below average,"700 West Elm Avenue, Enid, OK, 73701",2
2720,Eisenhower Elementary School,Public district,PK-5,142.0,17:1,Enid School District,3,Below average,"1301 West Fox Drive, Enid, OK, 73703",2
2721,Adams Elementary School,Public district,K-5,315.0,15:1,Enid School District,2,Below average,"2200 East Randolph Avenue, Enid, OK, 73701",2
2722,McKinley Elementary School,Public district,PK-5,306.0,17:1,Enid School District,2,Below average,"1701 West Broadway Avenue, Enid, OK, 73703",2
2730,Clark El School,Public district,K-6,294.0,15:1,Harbor Creek School District,9,Above average,"3650 Depot Road, Erie, PA, 16510",2
2731,Northwest Pa Collegiate Academy,Public district,9-12,853.0,16:1,Erie City School District,9,Above average,"2825 State Street, Erie, PA, 16508",2
2732,Westlake Middle School,Public district,6-8,528.0,13:1,Millcreek Township School District,8,Above average,"4330 West Lake Road, Erie, PA, 16505",2
2733,James S Wilson Middle School,Public district,6-8,534.0,12:1,Millcreek Township School District,8,Above average,"901 West 54th Street, Erie, PA, 16509",2
2734,Klein El School,Public district,K-6,334.0,14:1,Harbor Creek School District,7,Above average,"5325 East Lake Road, Erie, PA, 16511",2
2735,Rolling Ridge El School,Public district,K-6,483.0,15:1,Harbor Creek School District,7,Above average,"3700 Ridge Parkway, Erie, PA, 16510",2
2736,Belle Valley El School,Public district,PK-5,628.0,15:1,Millcreek Township School District,7,Above average,"5300 Henderson Road, Erie, PA, 16509",2
2737,Iroquois Junior-Senior High School,Public district,7-12,596.0,12:1,Iroquois School District,6,Average,"4301 Main Street, Erie, PA, 16511",2
2738,Mcdowell High School,Public district,9-12,2201.0,16:1,Millcreek Township School District,6,Average,"3580 West 38th Street, Erie, PA, 16506",2
2739,Grandview El School,Public district,K-5,641.0,15:1,Millcreek Township School District,6,Average,"4301 Lancaster Road, Erie, PA, 16506",2
2740,Wattsburg Area El Center,Public district,K-4,493.0,13:1,Wattsburg Area School District,6,Average,"10780 Wattsburg Road, Erie, PA, 16509",2
2741,Cleveland El School,Public district,K-5,632.0,13:1,Erie City School District,6,Average,"1540 West 38th Street, Erie, PA, 16508",2
2742,Harding El School,Public district,PK-8,704.0,15:1,Erie City School District,6,Average,"820 Lincoln Avenue, Erie, PA, 16505",2
2743,Robison El School,Public district,K-5,436.0,15:1,Fort Leboeuf School District,6,Average,"1651 Robison Road West, Erie, PA, 16509",2
2744,Iroquois El School,Public district,K-6,638.0,16:1,Iroquois School District,5,Average,"4231 Morse Street, Erie, PA, 16511",2
2745,Tracy El School,Public district,K-5,541.0,15:1,Millcreek Township School District,5,Average,"2624 West 6th Street, Erie, PA, 16505",2
2746,Chestnut Hill El School,Public district,K-5,382.0,15:1,Millcreek Township School District,5,Average,"1001 West 54th Street, Erie, PA, 16509",2
2747,Robert Benjamin Wiley Community Cs,Public charter,PK-12,421.0,13:1,Robert Benjamin Wiley Community Cs,5,Average,"1446 East Lake Road, Erie, PA, 16507",2
2748,Diehl El School,Public district,K-8,492.0,13:1,Erie City School District,5,Average,"2327 Fairmount Parkway, Erie, PA, 16510",2
2749,Connell El School,Public district,PK-8,598.0,14:1,Erie City School District,5,Average,"1820 East 38th Street, Erie, PA, 16510",2
2750,Lincoln El School,Public district,PK-5,396.0,13:1,Erie City School District,4,Below average,"831 East 31st Street, Erie, PA, 16504",2
2751,Perry El School,Public district,PK-5,469.0,14:1,Erie City School District,4,Below average,"955 West 29th Street, Erie, PA, 16508",2
2752,Wilson Middle School,Public district,6-8,682.0,13:1,Erie City School District,4,Below average,"718 East 28th Street, Erie, PA, 16504",2
2753,Pfeiffer-Burleigh El School,Public district,PK-8,702.0,12:1,Erie City School District,4,Below average,"235 East 11th Street, Erie, PA, 16503",2
2754,Perseus House Cs Of Excellence,Public charter,6-12,560.0,15:1,Perseus House Cs Of Excellence,3,Below average,"1511 Peach Street, Erie, PA, 16501",2
2755,Charlemagne At Fox Hollow Elementary School,Public district,K-5,348.0,24:1,Eugene School District 4j,10,Top rated,"3875 Kincaid Street, Eugene, OR, 97405",2
2756,Ridgeline Montessori,Public charter,K-8,247.0,26:1,Eugene School District 4j,9,Above average,"4500 West Amazon Drive, Eugene, OR, 97405",2
2757,South Eugene High School,Public district,9-12,1466.0,25:1,Eugene School District 4j,9,Above average,"400 East 19th Avenue, Eugene, OR, 97401",2
2758,Village School,Public charter,K-8,225.0,22:1,Eugene School District 4j,8,Above average,"3411 Willamette Street, Eugene, OR, 97405",2
2759,Crow Middle/High School,Public district,7-12,114.0,12:1,Crow-Applegate-Lorane School District 66,8,Above average,"25863 Crow Road, Eugene, OR, 97402",2
2760,Edgewood Community Elementary School,Public district,K-5,399.0,40:1,Eugene School District 4j,8,Above average,"577 East 46th Avenue, Eugene, OR, 97405",2
2761,Edison Elementary School,Public district,K-5,379.0,37:1,Eugene School District 4j,8,Above average,"1328 East 22nd Avenue, Eugene, OR, 97403",2
2762,Spencer Butte Middle School,Public district,6-8,440.0,44:1,Eugene School District 4j,8,Above average,"500 East 43rd Avenue, Eugene, OR, 97405",2
2763,Cascade Middle School,Public district,6-8,328.0,20:1,Bethel School District 52,7,Above average,"1525 Echo Hollow Road, Eugene, OR, 97402",2
2764,Arts And Technology Academy At Jefferson,Public district,6-8,412.0,31:1,Eugene School District 4j,7,Above average,"1650 West 22nd Avenue, Eugene, OR, 97405",2
2765,Sheldon High School,Public district,9-12,1503.0,25:1,Eugene School District 4j,7,Above average,"2455 Willakenzie Road, Eugene, OR, 97401",2
2766,Churchill High School,Public district,9-12,1107.0,24:1,Eugene School District 4j,7,Above average,"1850 Bailey Hill Road, Eugene, OR, 97405",2
2767,Family School,Public district,K-5,137.0,14:1,Eugene School District 4j,7,Above average,"1155 Crest Drive, Eugene, OR, 97405",2
2768,Yujin Gakuen Elementary School,Public district,K-5,314.0,30:1,Eugene School District 4j,7,Above average,"250 Silver Lane, Eugene, OR, 97404",2
2769,Meadow View School,Public district,K-8,778.0,19:1,Bethel School District 52,6,Average,"1855 Legacy Street, Eugene, OR, 97402",2
2770,Gilham Elementary School,Public district,K-5,560.0,55:1,Eugene School District 4j,6,Average,"3307 Honeywood Street, Eugene, OR, 97408",2
2771,Mccornack Elementary School,Public district,K-5,350.0,36:1,Eugene School District 4j,6,Average,"1968 Brittany Street, Eugene, OR, 97405",2
2772,Roosevelt Middle School,Public district,6-8,575.0,60:1,Eugene School District 4j,6,Average,"500 East 24th Avenue, Eugene, OR, 97405",2
2773,North Eugene High School,Public district,9-12,923.0,91:1,Eugene School District 4j,6,Average,"200 Silver Lane, Eugene, OR, 97404",2
2774,Buena Vista Elementary School,Public district,K-5,459.0,43:1,Eugene School District 4j,6,Average,"1500 Queens Way, Eugene, OR, 97401",2
2775,Prairie Mountain School,Public district,K-8,706.0,18:1,Bethel School District 52,5,Average,"5305 Royal Avenue, Eugene, OR, 97402",2
2776,Holt Elementary School,Public district,K-5,585.0,53:1,Eugene School District 4j,5,Average,"770 Calvin Street, Eugene, OR, 97401",2
2777,Shasta Middle School,Public district,6-8,419.0,22:1,Bethel School District 52,5,Average,"4656 Barger Drive, Eugene, OR, 97402",2
2778,Camas Ridge Community Elementary School,Public district,K-5,380.0,42:1,Eugene School District 4j,5,Average,"1150 East 29th Avenue, Eugene, OR, 97403",2
2779,Applegate Elementary School,Public district,K-6,111.0,12:1,Crow-Applegate-Lorane School District 66,5,Average,"85955 Territorial Highway, Eugene, OR, 97402",2
2780,Signature School IncIndiana,Public charter,9-12,366.0,14:1,Signature School Inc,10,Top rated,"610 Main Street, Evansville, IN, 47708",2
2781,Cynthia Heights Elementary School,Public district,K-5,515.0,21:1,Evansville Vanderburgh Sch Corp,9,Above average,"7225 Big Cynthiana Road, Evansville, IN, 47720",2
2782,Scott Elementary School,Public district,PK-6,993.0,22:1,Evansville Vanderburgh Sch Corp,8,Above average,"14940 Old State Road, Evansville, IN, 47725",2
2783,Oak Hill Elementary,Public district,K-6,922.0,22:1,Evansville Vanderburgh Sch Corp,8,Above average,"7700 Oak Hill Road, Evansville, IN, 47725",2
2784,Stockwell Elementary School,Public district,K-5,581.0,19:1,Evansville Vanderburgh Sch Corp,8,Above average,"2501 North Stockwell Road, Evansville, IN, 47715",2
2785,Central High School,Public district,9-12,1027.0,15:1,Evansville Vanderburgh Sch Corp,7,Above average,"5400 North First Avenue, Evansville, IN, 47710",4
2786,New Tech Institute,Public district,9-12,302.0,8:1,Evansville Vanderburgh Sch Corp,7,Above average,"1901 Lynch Road, Evansville, IN, 47711",2
2787,North High School,Public district,9-12,1569.0,17:1,Evansville Vanderburgh Sch Corp,7,Above average,"15331 U.S. 41, Evansville, IN, 47725",4
2788,Perry Heights Middle School,Public district,6-8,496.0,17:1,Evansville Vanderburgh Sch Corp,7,Above average,"5800 Hogue Road, Evansville, IN, 47712",2
2789,Thompkins Middle School,Public district,6-8,709.0,18:1,Evansville Vanderburgh Sch Corp,7,Above average,"1300 West Mill Road, Evansville, IN, 47710",2
2790,West Terrace Elementary School,Public district,K-5,695.0,20:1,Evansville Vanderburgh Sch Corp,7,Above average,"8000 West Terrace Drive, Evansville, IN, 47712",2
2791,Francis Joseph Reitz High School,Public district,9-12,1335.0,16:1,Evansville Vanderburgh Sch Corp,6,Average,"350 Dreier Boulevard, Evansville, IN, 47712",2
2792,Helfrich Park Stem Academy,Public district,6-8,532.0,17:1,Evansville Vanderburgh Sch Corp,6,Average,"2603 West Maryland Street, Evansville, IN, 47712",2
2793,Highland Elementary School,Public district,K-5,942.0,20:1,Evansville Vanderburgh Sch Corp,6,Average,"6701 Darmstadt Road, Evansville, IN, 47710",2
2794,North Junior High School,Public district,7-8,965.0,19:1,Evansville Vanderburgh Sch Corp,6,Average,"15325 U.S. 41, Evansville, IN, 47725",2
2795,Daniel Wertz Elementary School,Public district,PK-5,331.0,17:1,Evansville Vanderburgh Sch Corp,6,Average,"1702 South Red Bank Road, Evansville, IN, 47712",2
2796,Fairlawn Elementary School,Public district,K-5,381.0,17:1,Evansville Vanderburgh Sch Corp,5,Average,"2021 South Alvord Boulevard, Evansville, IN, 47714",2
2797,Hebron Elementary School,Public district,K-5,792.0,21:1,Evansville Vanderburgh Sch Corp,5,Average,"4400 Bellemeade Avenue, Evansville, IN, 47714",2
2798,Plaza Park International Prep Academy,Public district,6-8,662.0,17:1,Evansville Vanderburgh Sch Corp,5,Average,"7301 Lincoln Avenue, Evansville, IN, 47715",2
2799,Stringtown Elementary School,Public district,K-5,443.0,17:1,Evansville Vanderburgh Sch Corp,5,Average,"4720 Stringtown Road, Evansville, IN, 47711",2
2800,Tekoppel Elementary School,Public district,K-5,492.0,18:1,Evansville Vanderburgh Sch Corp,5,Average,"111 North Tekoppel Avenue, Evansville, IN, 47712",2
2801,Vogel Elementary School,Public district,K-6,644.0,18:1,Evansville Vanderburgh Sch Corp,5,Average,"1500 Oak Hill Road, Evansville, IN, 47711",2
2802,William Henry Harrison High School,Public district,9-12,1138.0,16:1,Evansville Vanderburgh Sch Corp,5,Average,"211 Fielding Road, Evansville, IN, 47715",2
2803,Joshua Academy,Public charter,K-6,187.0,13:1,Joshua Academy,4,Below average,"1230 East Illinois Street, Evansville, IN, 47711",2
2804,Benjamin Bosse High School,Public district,9-12,746.0,13:1,Evansville Vanderburgh Sch Corp,3,Below average,"1300 Washington Avenue, Evansville, IN, 47714",2
2805,Watershed Charter School,Public charter,K-8,197.0,27:1,Fairbanks North Star Borough School District,9,Above average,"4975 Decathlon Avenue, Fairbanks, AK, 99709",2
2806,Arctic Light Elementary School,Public district,PK-6,538.0,20:1,Fairbanks North Star Borough School District,7,Above average,"4167 Neely Road, Fairbanks, AK, 99703",2
2807,Hutchison High School,Public district,9-12,408.0,16:1,Fairbanks North Star Borough School District,7,Above average,"3750 Geist Road, Fairbanks, AK, 99709",2
2808,Ladd Elementary School,Public district,PK-6,501.0,21:1,Fairbanks North Star Borough School District,6,Average,"601 F Street, Fairbanks, AK, 99701",2
2809,Chinook Montessori Charter School,Public charter,K-8,152.0,21:1,Fairbanks North Star Borough School District,6,Average,"3002 International Street, Fairbanks, AK, 99701",2
2810,West Valley High School,Public district,9-12,976.0,20:1,Fairbanks North Star Borough School District,6,Average,"3800 Geist Road, Fairbanks, AK, 99709",2
2811,Pearl Creek Elementary School,Public district,PK-6,492.0,19:1,Fairbanks North Star Borough School District,6,Average,"700 Auburn Drive, Fairbanks, AK, 99709",2
2812,Weller Elementary School,Public district,PK-6,468.0,21:1,Fairbanks North Star Borough School District,6,Average,"635 Elementary Drive, Fairbanks, AK, 99712",2
2814,University Park Elementary School,Public district,PK-6,475.0,18:1,Fairbanks North Star Borough School District,5,Average,"554 Loftus Road, Fairbanks, AK, 99709",2
2815,Barnette Magnet School,Public district,PK-8,431.0,16:1,Fairbanks North Star Borough School District,5,Average,"1000 Barnette Street, Fairbanks, AK, 99701",2
2816,Woodriver Elementary School,Public district,PK-6,436.0,19:1,Fairbanks North Star Borough School District,5,Average,"5000 Palo Verde Avenue, Fairbanks, AK, 99709",2
2817,Randy Smith Middle School,Public district,7-8,295.0,18:1,Fairbanks North Star Borough School District,5,Average,"1401 Bainbridge Boulevard, Fairbanks, AK, 99701",2
2818,Anne Wien Elementary School,Public district,PK-6,378.0,17:1,Fairbanks North Star Borough School District,4,Below average,"1501 Hampstead Avenue, Fairbanks, AK, 99701",2
2819,Joy Elementary School,Public district,PK-6,425.0,15:1,Fairbanks North Star Borough School District,4,Below average,"24 Margaret Avenue, Fairbanks, AK, 99701",2
2820,Lathrop High School,Public district,9-12,1023.0,18:1,Fairbanks North Star Borough School District,4,Below average,"901 Airport Way, Fairbanks, AK, 99701",2
2821,Nordale Elementary School,Public district,PK-6,362.0,18:1,Fairbanks North Star Borough School District,4,Below average,"397 Hamilton Avenue, Fairbanks, AK, 99701",2
2822,Tanana Middle School,Public district,7-8,385.0,17:1,Fairbanks North Star Borough School District,4,Below average,"600 Trainor Gate Road, Fairbanks, AK, 99701",2
2824,Raven Correspondence School,Public district,PK-12,1515.0,,Yukon Koyukuk School District,4,Below average,"4762 Old Airport Road, Fairbanks, AK, 99709",2
2825,Denali Elementary School,Public district,PK-6,345.0,18:1,Fairbanks North Star Borough School District,3,Below average,"1042 Lathrop Street, Fairbanks, AK, 99701",2
2826,Effie Kokrine Charter School,Public charter,7-12,171.0,14:1,Fairbanks North Star Borough School District,3,Below average,"601 Loftus Road, Fairbanks, AK, 99709",2
2827,Hunter Elementary School,Public district,PK-6,374.0,19:1,Fairbanks North Star Borough School District,2,Below average,"1630 Gillam Way, Fairbanks, AK, 99701",2
2828,Ryan Middle School,Public district,7-8,371.0,17:1,Fairbanks North Star Borough School District,2,Below average,"951 Airport Way, Fairbanks, AK, 99701",2
2830,Public Safety Academy,Public district,5-12,732.0,24:1,Fairfield-Suisun Unified School District,9,Above average,"230 Atlantic Avenue, Fairfield, CA, 94533",2
2831,Nelda Mundy Elementary School,Public district,K-5,772.0,24:1,Fairfield-Suisun Unified School District,8,Above average,"570 Vintage Valley Drive, Fairfield, CA, 94534",2
2832,Green Valley Middle School,Public district,6-8,915.0,27:1,Fairfield-Suisun Unified School District,8,Above average,"1350 Gold Hill Road, Fairfield, CA, 94534",2
2833,Vanden High School,Public district,9-12,1730.0,21:1,Travis Unified School District,8,Above average,"2951 Markeley Lane, Fairfield, CA, 94533",2
2834,Cordelia Hills Elementary School,Public district,K-5,682.0,27:1,Fairfield-Suisun Unified School District,7,Above average,"4770 Canyon Hills Drive, Fairfield, CA, 94534",2
2835,Angelo Rodriguez High School,Public district,9-12,1882.0,24:1,Fairfield-Suisun Unified School District,7,Above average,"5000 Red Top Road, Fairfield, CA, 94534",2
2836,K. I. Jones Elementary School,Public district,K-5,729.0,28:1,Fairfield-Suisun Unified School District,7,Above average,"2001 Winston Drive, Fairfield, CA, 94534",2
2837,Rolling Hills Elementary School,Public district,K-5,577.0,25:1,Fairfield-Suisun Unified School District,6,Average,"2025 Fieldcrest Avenue, Fairfield, CA, 94534",2
