,0
25182,Coltrane-Webb Elementary
25183,Northwest Cabarrus Middle
25184,W M Irvin Elementary
25185,Central Cabarrus High
25186,Winecoff Elementary
25187,Rocky River Elementary
25188,Jay M Robinson High
25189,Harris Road Middle
25190,Cabarrus-Kannapolis Early College
25191,W R Odell Elementary
25192,Cox Mill Elementary
25193,R B Mcallister Elementary
25194,Cox Mill High School
25195,Patriots Elementary
25196,Harold Winkler Middle School
25197,Carl A. Furr Elementary School
25198,A T Allen Elementary
25199,Beverly Hills Elementary
25200,Weddington Hills Elementary
25201,J N Fries Middle School
25202,C. C. Griffin Middle School
25203,Carolina International School
25204,Pitts School Road Elementary
25205,Northwest Cabarrus High
25206,Wolf Meadow Elementary
25207,Coltrane-Webb Elementary
25208,Northwest Cabarrus Middle
25209,W M Irvin Elementary
25210,Central Cabarrus High
25211,Winecoff Elementary
25212,Rocky River Elementary
25213,Jay M Robinson High
25214,Concord Middle
25215,Concord High
25216,Cabarrus Charter Academy
25217,Council Academy Early Learning Center
25218,Daniel Academy
25219,Treasure Chest School
25220,C3 Concord Christian School
25221,Primrose School At Afton Village
25222,The Goddard School - Concord (Coddle Creek Market)
25223,Cabarrus Early College of Technology
25224,Cannon School
25225,cfa Academy
25226,Covenant Classical School
25227,New Life Christian Academy
25228,Performance Learning Center
25229,W R Odell Elementary
25230,Cabarrus Co Opportunity School
25231,St John Lutheran Play-School
25232,Kids Only Child Development Center
25233,Odell Kids Plus Day Care
25234,Elite Child Development Center
25235,Pitts Bapst Child Development Center
25236,Wm Irvin Kids Plus Dc
25237,Cox Mill Kids Plus
25238,First Assembly Child Care Center
25239,Concord Middle
25240,Concord High
25241,Cabarrus Charter Academy
25242,Council Academy Early Learning Center
25243,Daniel Academy
25244,Treasure Chest School
25245,C3 Concord Christian School
25246,Primrose School At Afton Village
25247,The Goddard School - Concord (Coddle Creek Market)
25248,Cabarrus Early College of Technology
25249,Cannon School
25250,cfa Academy
25251,Covenant Classical School
25252,New Life Christian Academy
25253,Performance Learning Center
25254,W R Odell Elementary
25255,Cabarrus Co Opportunity School
25256,St John Lutheran Play-School
25257,Kids Only Child Development Center
25258,Odell Kids Plus Day Care
25259,Elite Child Development Center
25260,Pitts Bapst Child Development Center
25261,Wm Irvin Kids Plus Dc
25262,Cox Mill Kids Plus
25263,First Assembly Child Care Center
25264,Logan Community Day Care #2
25265,Advantage Child Development Center
25266,Wee Care Play & Learn Day Care
25267,Dixon Academy-Northeast
25268,Logan Child Development Center
25269,Piedmont Primary Academy
25270,Happy Kingdom Child Care Center
25271,A Place To Grow Cc
25272,New Life Outreach Child Development Center
25273,Furr Kids Plus Day Care
25274,Central United Methodist Pre-School
25275,Sunshine House Dc
25276,Kathy Cress Day Care
25277,La Petite Academy #4866
25278,Lambert's Day Care Center
25279,Mcgill Child Development Center
25280,A T Allen Kids Plus
25281,Calvary Academy
25282,New Horizons Child Care Center
25283,Shiloh United Methodist Day Care
25284,New Life Kid's Care
25285,Playhouse Nursery
25286,Tender Loving Center
25287,Concord Community Child Care Center
25288,Primrose School-Afton Village
25289,Logan Community Day Care #2
25290,Advantage Child Development Center
25291,Wee Care Play & Learn Day Care
25292,Dixon Academy-Northeast
25293,Logan Child Development Center
25294,Piedmont Primary Academy
25295,Happy Kingdom Child Care Center
25296,A Place To Grow Cc
25297,New Life Outreach Child Development Center
25298,Furr Kids Plus Day Care
25299,Central United Methodist Pre-School
25300,Sunshine House Dc
25301,Kathy Cress Day Care
25302,La Petite Academy #4866
25303,Lambert's Day Care Center
25304,Mcgill Child Development Center
25305,A T Allen Kids Plus
25306,Calvary Academy
25307,New Horizons Child Care Center
25308,Shiloh United Methodist Day Care
25309,New Life Kid's Care
25310,Playhouse Nursery
25311,Tender Loving Center
25312,Concord Community Child Care Center
25313,Primrose School-Afton Village
25314,R B Mcallister Kids Plus Dc
25315,Rocky River Kids Plus Dc
25316,Coltrane-Webb Kids Plus Dc
25317,Special Generation Day Care Center II
25318,Kings Keep Learning Center
25319,Sunshine Dc Of Concord Ii
25320,Sunshine Dc Of Concord I
25321,Zion Hill Church Child Development Center
25322,Beverly Hills Kids Plus
25323,Ruckus House Lc-Moss Creek
25324,Wolf Meadows B/A School Prgm
25325,Mt Pleasant Kids Plus Dc
25326,Royal Oaks Kids Plus
25327,Hope Academy
25328,Lambert's Child Care
25329,Messiahsown Learning Academy
25330,Mary Frances Wall Child Care Center
25331,Gram & Gramps Child Care Center
25332,Etta Lucille's Child Care Center
25333,Charmed Ones Academy
25334,Boger Kids Plus Day Care
25335,Badgerday Care
25336,A Silly Jungle Learning Center
25337,Tina's Tots Day Care
25338,The Goddard School - Concord (Highland Creek)
25339,R B Mcallister Kids Plus Dc
25340,Rocky River Kids Plus Dc
25341,Coltrane-Webb Kids Plus Dc
25342,Special Generation Day Care Center II
25343,Kings Keep Learning Center
25344,Sunshine Dc Of Concord Ii
25345,Sunshine Dc Of Concord I
25346,Zion Hill Church Child Development Center
25347,Beverly Hills Kids Plus
25348,Ruckus House Lc-Moss Creek
25349,Wolf Meadows B/A School Prgm
25350,Mt Pleasant Kids Plus Dc
25351,Royal Oaks Kids Plus
25352,Hope Academy
25353,Lambert's Child Care
25354,Messiahsown Learning Academy
25355,Mary Frances Wall Child Care Center
25356,Gram & Gramps Child Care Center
25357,Etta Lucille's Child Care Center
25358,Charmed Ones Academy
25359,Boger Kids Plus Day Care
25360,Badgerday Care
25361,A Silly Jungle Learning Center
25362,Tina's Tots Day Care
25363,The Goddard School - Concord (Highland Creek)
25364,Kids R Kids Nc Child Care Center 13
25365,L And Y Day Care
25366,Denise Mcneil's Day Care
25367,Concord Christian Center Dc
25368,Winecoff Kids Plus Child Care Center
25369,Weddington Hills Kids Plus Dc
25370,Upper Room Kids Child Development Center
25371,Tutor Time Learning Center-Poplartent
25372,Harrisburg Kids Plus Dc
25373,Bethel Kids Plus Program
25374,New Life Kids Care
25375,Jazzie Rae's Kids Dcc
25376,Kids R Kids Nc Child Care Center 13
25377,L And Y Day Care
25378,Denise Mcneil's Day Care
25379,Concord Christian Center Dc
25380,Winecoff Kids Plus Child Care Center
25381,Weddington Hills Kids Plus Dc
25382,Upper Room Kids Child Development Center
25383,Tutor Time Learning Center-Poplartent
25384,Harrisburg Kids Plus Dc
25385,Bethel Kids Plus Program
25386,New Life Kids Care
25387,Jazzie Rae's Kids Dcc
25388,Ruth Doyle Intermediate School
25389,Woodrow Cummins Elementary School
25390,Carolyn Lewis Elementary School
25391,Conway High West
25392,Theodore Jones Elementary School
25393,Jim Stone Elementary School
25394,Carl Stuart Middle School
25395,Ida Burns Elementary School
25396,Florence Mattison Elementary School
25397,Ray/Phyllis Simon Intermediate School
25398,Vilonia Primary School
25399,Conway Junior High School
25400,Bob Courtway Middle School
25401,Julia Lee Moore Elementary School
25402,Ellen Smith Elementary School
25403,Marguerite Vann Elementary School
25404,Conway Christian School
25405,Conway Vocational Center
25406,Calvary Chapel Academy
25407,University of Central Arkansas
25408,St Joseph School
25409,Grtr Fellowship Christian Ch Dc
25410,Uca Child Study Center
25411,Snuggle Bug Cafe Day Care
25412,Central Christian Academy
25413,Ruth Doyle Intermediate School
25414,Woodrow Cummins Elementary School
25415,Carolyn Lewis Elementary School
25416,Conway High West
25417,Theodore Jones Elementary School
25418,Jim Stone Elementary School
25419,Carl Stuart Middle School
25420,Ida Burns Elementary School
25421,Florence Mattison Elementary School
25422,Ray/Phyllis Simon Intermediate School
25423,Vilonia Primary School
25424,Conway Junior High School
25425,Bob Courtway Middle School
25426,Julia Lee Moore Elementary School
25427,Ellen Smith Elementary School
25428,Marguerite Vann Elementary School
25429,Conway Christian School
25430,Conway Vocational Center
25431,Calvary Chapel Academy
25432,University of Central Arkansas
25433,St Joseph School
25434,Grtr Fellowship Christian Ch Dc
25435,Uca Child Study Center
25436,Snuggle Bug Cafe Day Care
25437,Central Christian Academy
25438,Glady's Lil' Angels
25439,Kiddie Kare Nursery School
25440,Milestone's Early Learning Center
25441,Southside Head Start
25442,Mrs Lia's Little Villa Dc
25443,Discovery Island Day Care
25444,Middle School Danas Country Inn Child Care Center
25445,Conway Cradle Care
25446,Learning Tree Montessori
25447,Sonshine Academy
25448,Rising Star Child Care Center
25449,Children's Center
25450,Sugar Bear Day Care
25451,King's Kidz Christian CC
25452,Ms Carrie's Day School
25453,Punkin Patch
25454,Woodland Heights Christian Pre-School
25455,Mrs Jeanie's At Home Day Care
25456,Abundant Blessings Christian Cc
25457,Over the Rainbow Learning Center
25458,Edu Kids Daycare
25459,Conway Head Start
25460,Conway Montessori School
25461,In Home Child Care Center
25462,Wee Care Teaching & Learning Center
25463,Glady's Lil' Angels
25464,Kiddie Kare Nursery School
25465,Milestone's Early Learning Center
25466,Southside Head Start
25467,Mrs Lia's Little Villa Dc
25468,Discovery Island Day Care
25469,Middle School Danas Country Inn Child Care Center
25470,Conway Cradle Care
25471,Learning Tree Montessori
25472,Sonshine Academy
25473,Rising Star Child Care Center
25474,Children's Center
25475,Sugar Bear Day Care
25476,King's Kidz Christian CC
25477,Ms Carrie's Day School
25478,Punkin Patch
25479,Woodland Heights Christian Pre-School
25480,Mrs Jeanie's At Home Day Care
25481,Abundant Blessings Christian Cc
25482,Over the Rainbow Learning Center
25483,Edu Kids Daycare
25484,Conway Head Start
25485,Conway Montessori School
25486,In Home Child Care Center
25487,Wee Care Teaching & Learning Center
25488,Heber Springs Head Start
25489,Greenbrier Head Start
25490,Conway Quality Child Care
25491,Conway Adult Education Center
25492,Conway Area Career Center
25493,Kidz University Day Care
25494,Kid Life & Money Child Care Center
25495,Childcare Network Child Care Center 192
25496,Krayola Kidz Day Care
25497,St Peter's Episcopal Pre-Schoo
25498,Little Dumplings Day Care
25499,St Joseph Pre-School
25500,2 B Kids
25501,Sonshine Inn Childrens Learning
25502,Early Childhood Center Sac
25503,Precious Moments Day Care
25504,Pleasant Cchild Care Center
25505,Ms Barbara's Child Care Center
25506,Kidz University Child Care Center
25507,Miss Bee's Child Care Center
25508,Lily Pad Learning Center
25509,Pediatrics Plus Development Pre-School
25510,Little Life Academy
25511,Pre-School House Ps
25512,Sallie Cone Preschool
25513,Heber Springs Head Start
25514,Greenbrier Head Start
25515,Conway Quality Child Care
25516,Conway Adult Education Center
25517,Conway Area Career Center
25518,Kidz University Day Care
25519,Kid Life & Money Child Care Center
25520,Childcare Network Child Care Center 192
25521,Krayola Kidz Day Care
25522,St Peter's Episcopal Pre-Schoo
25523,Little Dumplings Day Care
25524,St Joseph Pre-School
25525,2 B Kids
25526,Sonshine Inn Childrens Learning
25527,Early Childhood Center Sac
25528,Precious Moments Day Care
25529,Pleasant Cchild Care Center
25530,Ms Barbara's Child Care Center
25531,Kidz University Child Care Center
25532,Miss Bee's Child Care Center
25533,Lily Pad Learning Center
25534,Pediatrics Plus Development Pre-School
25535,Little Life Academy
25536,Pre-School House Ps
25537,Sallie Cone Preschool
25538,Hcs Early College High School
25539,Kingston Elementary School
25540,Black Water Middle School
25541,Conway Elementary School
25542,South Conway Elementary School
25543,Waccamaw Elementary School
25544,Homewood Elementary School
25545,Pee Dee Elementary School
25546,Conway Middle School
25547,Whittemore Park Middle School
25548,Conway High School
25549,A Touch of Christ
25550,Conway Christian School
25551,Academy For Technology And Academics
25552,St James Chld Development Center
25553,Grissett's Child Development Center
25554,Ann And Andy Day Care
25555,Precious Promises Child Care Center
25556,S O S Child Development Center
25557,North Conway Baptist Day School
25558,Harrelson's Group Day Care Center
25559,A New Beginning Day Care
25560,Bertha's Pre-School Ii
25561,Hickory Grove Bapt Church Cdc
25562,ABC Country Child Care
25563,Hcs Early College High School
25564,Kingston Elementary School
25565,Black Water Middle School
25566,Conway Elementary School
25567,South Conway Elementary School
25568,Waccamaw Elementary School
25569,Homewood Elementary School
25570,Pee Dee Elementary School
25571,Conway Middle School
25572,Whittemore Park Middle School
25573,Conway High School
25574,A Touch of Christ
25575,Conway Christian School
25576,Academy For Technology And Academics
25577,St James Chld Development Center
25578,Grissett's Child Development Center
25579,Ann And Andy Day Care
25580,Precious Promises Child Care Center
25581,S O S Child Development Center
25582,North Conway Baptist Day School
25583,Harrelson's Group Day Care Center
25584,A New Beginning Day Care
25585,Bertha's Pre-School Ii
25586,Hickory Grove Bapt Church Cdc
25587,ABC Country Child Care
25588,Martin's Day Care Center
25589,Cathy Pages Day Care
25590,Lovell Weekday Ministries
25591,Langston Child Development Center
25592,Your Neighborhood Child Care Center & Cdc
25593,Beginner's Paradise
25594,Waccamaw Head Start
25595,Learning Station
25596,Academy Of Hope Charter
25597,Lighthouse Care Center Of Conway
25598,Conway Day Care
25599,Rivertown Child Development Center
25600,A Step Ahead Child Development Center
25601,Land Of Learning Dc
25602,Martin's Day Care Center
25603,Cathy Pages Day Care
25604,Lovell Weekday Ministries
25605,Langston Child Development Center
25606,Your Neighborhood Child Care Center & Cdc
25607,Beginner's Paradise
25608,Waccamaw Head Start
25609,Learning Station
25610,Academy Of Hope Charter
25611,Lighthouse Care Center Of Conway
25612,Conway Day Care
25613,Rivertown Child Development Center
25614,A Step Ahead Child Development Center
25615,Land Of Learning Dc
25616,Corcoran High School
25617,John Muir Middle School
25618,Mark Twain Elementary School
25619,John C. Fremont Elementary School
25620,Kings Lake Education Center
25621,Jubilee Christian Academy
25622,Corcoran Academy
25623,Corcoran Adult
25624,Corcoran Family Ymca Day Care
25625,Bret Harte Elementary School
25626,Mission Community Day School
25627,Potter's House Christian Academy
25628,Bret Harte Pre-School
25629,Corcoran High School
25630,John Muir Middle School
25631,Mark Twain Elementary School
25632,John C. Fremont Elementary School
25633,Kings Lake Education Center
25634,Jubilee Christian Academy
25635,Corcoran Academy
25636,Corcoran Adult
25637,Corcoran Family Ymca Day Care
25638,Bret Harte Elementary School
25639,Mission Community Day School
25640,Potter's House Christian Academy
25641,Bret Harte Pre-School
25642,Calallen Wood River Elementary School
25643,Windsor Park G/T
25644,Early Childhood Development Center
25645,Collegiate High School
25646,Calallen Charter High School
25647,Faye Webb Elementary School
25648,Smith Elementary School
25649,Flour Bluff Intermediate School
25650,London Elementary School
25651,Mireles Elementary School
25652,Calallen High School
25653,Kostoryz Elementary School
25654,Barnes Elementary School
25655,Seashore Learning Center
25656,Adkins Middle School
25657,Kolda Elementary School
25658,London High School
25659,London Middle
25660,Magee Elementary School
25661,Calallen East Elementary School
25662,Seashore Middle Academy
25663,Baker Middle School
25664,Evans Ses
25665,Sanders Elementary School
25666,Woodlawn Elementary School
25667,Calallen Wood River Elementary School
25668,Windsor Park G/T
25669,Early Childhood Development Center
25670,Collegiate High School
25671,Calallen Charter High School
25672,Faye Webb Elementary School
25673,Smith Elementary School
25674,Flour Bluff Intermediate School
25675,London Elementary School
25676,Mireles Elementary School
25677,Calallen High School
25678,Kostoryz Elementary School
25679,Barnes Elementary School
25680,Seashore Learning Center
25681,Adkins Middle School
25682,Kolda Elementary School
25683,London High School
25684,London Middle
25685,Magee Elementary School
25686,Calallen East Elementary School
25687,Seashore Middle Academy
25688,Baker Middle School
25689,Evans Ses
25690,Sanders Elementary School
25691,Woodlawn Elementary School
25692,Yeager Elementary School
25693,Club Estates
25694,Kaffie Middle School
25695,Jones Elementary School
25696,Veterans Memorial High School
25697,Flour Bluff Elementary School
25698,Flour Bluff High School
25699,Flour Bluff J High School
25700,Tuloso-Midway High School
25701,Tuloso-Midway Intermediate School
25702,Calallen Middle School
25703,Allen Elementary School
25704,Browne Middle School
25705,Mary Helen Berlanga El
25706,Central Park Elementary School
25707,Wynn Seale Metropolitan School Of
25708,Garcia Elementary School
25709,Hamlin Middle School
25710,Houston Elementary School
25711,King High School
25712,Los Encinos Ses
25713,Rose Shaw Special Emphasis School
25714,Menger Elementary School
25715,Moody High School
25716,Oak Park Special Emphasis School
25717,Yeager Elementary School
25718,Club Estates
25719,Kaffie Middle School
25720,Jones Elementary School
25721,Veterans Memorial High School
25722,Flour Bluff Elementary School
25723,Flour Bluff High School
25724,Flour Bluff J High School
25725,Tuloso-Midway High School
25726,Tuloso-Midway Intermediate School
25727,Calallen Middle School
25728,Allen Elementary School
25729,Browne Middle School
25730,Mary Helen Berlanga El
25731,Central Park Elementary School
25732,Wynn Seale Metropolitan School Of
25733,Garcia Elementary School
25734,Hamlin Middle School
25735,Houston Elementary School
25736,King High School
25737,Los Encinos Ses
25738,Rose Shaw Special Emphasis School
25739,Menger Elementary School
25740,Moody High School
25741,Oak Park Special Emphasis School
25742,Ray High School
25743,Schanen Estates Elementary School
25744,Grant Middle School
25745,Dawson Elementary School
25746,Harold T Branch Academy For Career
25747,Dr M L Garza-Gonzalez Charter School
25748,Tuloso-Midway Middle School
25749,West Oso High School
25750,Corpus Christi Montessori School
25751,Carroll High School
25752,Crockett Elementary School
25753,Cunningham Middle School
25754,Driscoll Middle School
25755,Fannin Elementary School
25756,Martin Middle School
25757,Meadowbrook Elementary School
25758,Roy Miller High School And Metro School Of
25759,Montclair Elementary School
25760,Travis Elementary School
25761,Moore Elementary School
25762,Galvan Elementary School
25763,West Oso J High School
25764,West Oso Elementary School
25765,Gibson Elementary School
25766,Haas Middle School
25767,Ray High School
25768,Schanen Estates Elementary School
25769,Grant Middle School
25770,Dawson Elementary School
25771,Harold T Branch Academy For Career
25772,Dr M L Garza-Gonzalez Charter School
25773,Tuloso-Midway Middle School
25774,West Oso High School
25775,Corpus Christi Montessori School
25776,Carroll High School
25777,Crockett Elementary School
25778,Cunningham Middle School
25779,Driscoll Middle School
25780,Fannin Elementary School
25781,Martin Middle School
25782,Meadowbrook Elementary School
25783,Roy Miller High School And Metro School Of
25784,Montclair Elementary School
25785,Travis Elementary School
25786,Moore Elementary School
25787,Galvan Elementary School
25788,West Oso J High School
25789,West Oso Elementary School
25790,Gibson Elementary School
25791,Haas Middle School
25792,South Park Middle School
25793,Wilson Elementary School
25794,Tuloso-Midway Academic Career Cent
25795,Zavala Elementary School
25796,Coles High School And Educational Center
25797,Cesar E Chavez Academy
25798,Mary Grett School
25799,Richard Milburn Academy Corpus Christi
25800,Accelerated Learning Center
25801,Coastal Bend Adventist Jr Academy
25802,Second Baptist Church Child De
25803,Mount Olive Lutheran Preschool
25804,Primera Day School
25805,Central Catholic School
25806,Holy Family School
25807,Sts. Cyril and Methodius School
25808,St. Patrick Elementary School
25809,Nueces House
25810,La Raza C B C
25811,St. Theresa School
25812,Montessori School
25813,First Christian Day School
25814,Marguerite Day Care
25815,Happy Child Day School
25816,Elgin Child Care
25817,South Park Middle School
25818,Wilson Elementary School
25819,Tuloso-Midway Academic Career Cent
25820,Zavala Elementary School
25821,Coles High School And Educational Center
25822,Cesar E Chavez Academy
25823,Mary Grett School
25824,Richard Milburn Academy Corpus Christi
25825,Accelerated Learning Center
25826,Coastal Bend Adventist Jr Academy
25827,Second Baptist Church Child De
25828,Mount Olive Lutheran Preschool
25829,Primera Day School
25830,Central Catholic School
25831,Holy Family School
25832,Sts. Cyril and Methodius School
25833,St. Patrick Elementary School
25834,Nueces House
25835,La Raza C B C
25836,St. Theresa School
25837,Montessori School
25838,First Christian Day School
25839,Marguerite Day Care
25840,Happy Child Day School
25841,Elgin Child Care
25842,Dos Mundos Day School
25843,Cathedral of the Palms
25844,Incarnate Word Middle School
25845,Del Mar College Center for Early Learning
25846,Wesley Community Center
25847,Early Childhood Center
25848,New Hope Baptist Academy
25849,People S Baptist Church Christian School
25850,Gcclr Institute Of Technology
25851,Wiggins Head Start Center
25852,Marjorie's Child Care
25853,Mary Lois Fields Learning Center
25854,Small World Child Care
25855,Small World Child Care Center
25856,Washington Head Start Center
25857,Grace United Methodist Day Care Center
25858,Navarro Place High School Center
25859,Happy Child Day Care Center
25860,Lord Of Life Lutheran Chld Development
25861,Calallen Baptist Day School
25862,Rodd Field Road Kindercare
25863,Cliff Maus Head Start Center
25864,Island Foundation Inc Private
25865,Carmens Pre School Day Care
25866,Brooks Chapel Early Learning Center
25867,Dos Mundos Day School
25868,Cathedral of the Palms
25869,Incarnate Word Middle School
25870,Del Mar College Center for Early Learning
25871,Wesley Community Center
25872,Early Childhood Center
25873,New Hope Baptist Academy
25874,People S Baptist Church Christian School
25875,Gcclr Institute Of Technology
25876,Wiggins Head Start Center
25877,Marjorie's Child Care
25878,Mary Lois Fields Learning Center
25879,Small World Child Care
25880,Small World Child Care Center
25881,Washington Head Start Center
25882,Grace United Methodist Day Care Center
25883,Navarro Place High School Center
25884,Happy Child Day Care Center
25885,Lord Of Life Lutheran Chld Development
25886,Calallen Baptist Day School
25887,Rodd Field Road Kindercare
25888,Cliff Maus Head Start Center
25889,Island Foundation Inc Private
25890,Carmens Pre School Day Care
25891,Brooks Chapel Early Learning Center
25892,Early Childhood Dev Center
25893,Centro De Los Ninos Familias
25894,Red Barn Private School
25895,Mont School Of Corpus Christi
25896,Our Lady Of The Rosary Lc
25897,Calvary Baptist Day Care Center
25898,El Tejanito Head Start
25899,Gingerbread House Day Care Center
25900,Elgin Park Neighbor Center
25901,Special Place Child Care Center
25902,First Baptist School
25903,Aurora Castillo DC
25904,First Christian Church Day School
25905,La Armada Head Start Center
25906,Learning Tree Child Care Center
25907,Acushnet Kindercare
25908,Pats Pre School
25909,Mothers Care Day Center
25910,Sweet Pea Childcare & Dev Center
25911,Children Educare
25912,First Prebyterian Day Care
25913,A-Bar-Z Ponderosa #2
25914,Middle School Amiguitos Day Care
25915,Ms Rachel Child Care
25916,Melba Candy Sanchez Day Care
25917,Early Childhood Dev Center
25918,Centro De Los Ninos Familias
25919,Red Barn Private School
25920,Mont School Of Corpus Christi
25921,Our Lady Of The Rosary Lc
25922,Calvary Baptist Day Care Center
25923,El Tejanito Head Start
25924,Gingerbread House Day Care Center
25925,Elgin Park Neighbor Center
25926,Special Place Child Care Center
25927,First Baptist School
25928,Aurora Castillo DC
25929,First Christian Church Day School
25930,La Armada Head Start Center
25931,Learning Tree Child Care Center
25932,Acushnet Kindercare
25933,Pats Pre School
25934,Mothers Care Day Center
25935,Sweet Pea Childcare & Dev Center
25936,Children Educare
25937,First Prebyterian Day Care
25938,A-Bar-Z Ponderosa #2
25939,Middle School Amiguitos Day Care
25940,Ms Rachel Child Care
25941,Melba Candy Sanchez Day Care
25942,La Escuela De Montessori
25943,Bright Beginnings Learning Center
25944,Noahs Ark Day Care
25945,Jan And Rays Child Care Svc
25946,Ywca Child Care Con
25947,Little Academy of Learners
25948,Ms Cristinas Family Group Home Dc
25949,Kidds Place
25950,Oxford Academy
25951,Solid Rock Christian Academy
25952,Bay Area Child Development Center
25953,St Johns Childrens Learning
25954,Southside Montessori
25955,New Song Child Care
25956,St. John Baptist Day Care Center
25957,Marys Day Care
25958,Costal Bend Child Care
25959,Coastal Bend Child Care
25960,Mary J Pelaez Day Care
25961,Manna Child Care Center
25962,Phyllis Guldins Day Home
25963,Neighborhood Center-Crp Christi
25964,Latchkey Afterschool Prog Earl
25965,St Bartholomew's Inf & Pre School
25966,Travis After School
25967,La Escuela De Montessori
25968,Bright Beginnings Learning Center
25969,Noahs Ark Day Care
25970,Jan And Rays Child Care Svc
25971,Ywca Child Care Con
25972,Little Academy of Learners
25973,Ms Cristinas Family Group Home Dc
25974,Kidds Place
25975,Oxford Academy
25976,Solid Rock Christian Academy
25977,Bay Area Child Development Center
25978,St Johns Childrens Learning
25979,Southside Montessori
25980,New Song Child Care
25981,St. John Baptist Day Care Center
25982,Marys Day Care
25983,Costal Bend Child Care
25984,Coastal Bend Child Care
25985,Mary J Pelaez Day Care
25986,Manna Child Care Center
25987,Phyllis Guldins Day Home
25988,Neighborhood Center-Crp Christi
25989,Latchkey Afterschool Prog Earl
25990,St Bartholomew's Inf & Pre School
25991,Travis After School
25992,Bear Hugs Group Day Home
25993,Silver Spoon Prodogy Day Care
25994,2nd Baptist Child Development Center
25995,Everhart Kindercare
25996,Jewish Community Council Pre-School
25997,Mi Casita Montessori School
25998,Lisa Brewer Day Care
25999,Bethune Day Nursery
26000,Vinson Morris Children's Center
26001,Granny's Kountry School
26002,Greenwood-Molina Children's Ce
26003,Naval Air Sta Child Development Center
26004,Calk Elementary School
26005,Cullen Middle School
26006,Austin Head Start
26007,Student Support Center
26008,Incarnate Word Academy-Elementary School
26009,St. John Paul II High School
26010,Rainbow Express
26011,Navigation Pointe Early High School
26012,Glorias Child Care Center
26013,Reiser Day Care
26014,Tiny Tots Day Care
26015,Kinder Care Learning Center #370
26016,Kinder Care Learning Center #942
26017,Bear Hugs Group Day Home
26018,Silver Spoon Prodogy Day Care
26019,2nd Baptist Child Development Center
26020,Everhart Kindercare
26021,Jewish Community Council Pre-School
26022,Mi Casita Montessori School
26023,Lisa Brewer Day Care
26024,Bethune Day Nursery
26025,Vinson Morris Children's Center
26026,Granny's Kountry School
26027,Greenwood-Molina Children's Ce
26028,Naval Air Sta Child Development Center
26029,Calk Elementary School
26030,Cullen Middle School
26031,Austin Head Start
26032,Student Support Center
26033,Incarnate Word Academy-Elementary School
26034,St. John Paul II High School
26035,Rainbow Express
26036,Navigation Pointe Early High School
26037,Glorias Child Care Center
26038,Reiser Day Care
26039,Tiny Tots Day Care
26040,Kinder Care Learning Center #370
26041,Kinder Care Learning Center #942
26042,Kinder Care Learning Center #788
26043,Montessori Pre-School
26044,West Oso Head Start
26045,Pitter Pater Pre-School
26046,Gollihar Neighborhood Center
26047,Driscoll Childrens Learning Center
26048,Zavala Head Start
26049,Gulfway Park Head Start
26050,A Special Place Day Care
26051,Kids Of The Neighborhood Head Start
26052,Navigation Pointe Head Start
26053,River Square Early Head Start
26054,La Armada Head Start
26055,Ramelrose Day Care
26056,Building Blocks Pre-School
26057,Precious Moments Day Care
26058,Central Christian Children Dc
26059,Little Roos Pre-School
26060,New Song Child Care Center
26061,Childrens Edu Care Child Care Center
26062,Enchanted Childrens Academy
26063,Aplus Day Care & Learning Center
26064,Abc Christian Child Care Center
26065,Appletree Academy
26066,Iachieve Academy of Young Learners
26067,Kinder Care Learning Center #788
26068,Montessori Pre-School
26069,West Oso Head Start
26070,Pitter Pater Pre-School
26071,Gollihar Neighborhood Center
26072,Driscoll Childrens Learning Center
26073,Zavala Head Start
26074,Gulfway Park Head Start
26075,A Special Place Day Care
26076,Kids Of The Neighborhood Head Start
26077,Navigation Pointe Head Start
26078,River Square Early Head Start
26079,La Armada Head Start
26080,Ramelrose Day Care
26081,Building Blocks Pre-School
26082,Precious Moments Day Care
26083,Central Christian Children Dc
26084,Little Roos Pre-School
26085,New Song Child Care Center
26086,Childrens Edu Care Child Care Center
26087,Enchanted Childrens Academy
26088,Aplus Day Care & Learning Center
26089,Abc Christian Child Care Center
26090,Appletree Academy
26091,Iachieve Academy of Young Learners
26092,Wesley Community Center
26093,Bokenkamp
26094,Flour Bluff Primary School
26095,Tuloso-Midway Primary School
26096,Kennedy Elementary School
26097,St Patrick School
26098,Our Lady Of Perpetual Help Academy
26099,Incarnate Word Academy High School
26100,Holy Family Elementary School
26101,St Pius X Catholic School
26102,Christ The King Catholic School
26103,Central Catholic Elementary School
26104,Most Precious Blood Catholic School
26105,St. James Episcopal School
26106,First Baptist School
26107,Bishop Garriga Middle School
26108,Arlington Heights Christian School
26109,Montessori School-Corpus Christi
26110,Yorktown Christian Academy
26111,Annapolis Christian Academy
26112,Omega School for Girls
26113,Parkdale Baptist School
26114,Gardendale Baptist Child Development Center
26115,Wesley Community Center
26116,Bokenkamp
26117,Flour Bluff Primary School
26118,Tuloso-Midway Primary School
26119,Kennedy Elementary School
26120,St Patrick School
26121,Our Lady Of Perpetual Help Academy
26122,Incarnate Word Academy High School
26123,Holy Family Elementary School
26124,St Pius X Catholic School
26125,Christ The King Catholic School
26126,Central Catholic Elementary School
26127,Most Precious Blood Catholic School
26128,St. James Episcopal School
26129,First Baptist School
26130,Bishop Garriga Middle School
