,School,Score,Rating,Address
6023,High Point Academy,Below average,5/10,"6750 North Dunkirk Street, Aurora, CO, 80019"
6024,Village East Community Elementary School,Below average,5/10,"1433 South Oakland Street, Aurora, CO, 80012"
6025,Global Village Academy,Below average,5/10,"403 South Airport Boulevard, Aurora, CO, 80017"
6026,Horizon Middle School,Below average,5/10,"3981 South Reservoir Road, Aurora, CO, 80013"
6027,Meadow Point Elementary School,Below average,5/10,"17901 East Grand Avenue, Aurora, CO, 80015"
6028,Sunrise Elementary School,Below average,5/10,"4050 South Genoa Way, Aurora, CO, 80013"
6029,Edna And John W. Mosley P-8,Below average,4/10,"55 North Salida Street, Aurora, CO, 80011"
6030,Aurora Hills Middle School,Below average,4/10,"1009 South Uvalda Street, Aurora, CO, 80012"
6031,Aurora Central High School,Below average,4/10,"11700 East 11th Avenue, Aurora, CO, 80010"
6032,Gateway High School,Below average,4/10,"1300 South Sable Boulevard, Aurora, CO, 80012"
6033,Laredo Elementary School,Below average,4/10,"1350 Laredo Street, Aurora, CO, 80011"
6034,Mrachek Middle School,Below average,4/10,"1955 South Telluride Street, Aurora, CO, 80013"
6035,Park Lane Elementary School,Below average,4/10,"13001 East 30th Avenue, Aurora, CO, 80011"
6036,South Middle School,Below average,4/10,"12310 East Parkview Drive, Aurora, CO, 80011"
6037,Virginia Court Elementary School,Below average,4/10,"395 South Troy Street, Aurora, CO, 80012"
6038,Options School,Below average,4/10,"11351 East Montview Boulevard, Aurora, CO, 80010"
6039,Eastridge Community Elementary School,Below average,4/10,"11777 East Wesley Avenue, Aurora, CO, 80014"
6040,Peoria Elementary School,Below average,4/10,"875 Peoria Street, Aurora, CO, 80011"
6041,Highline Community Elementary School,Below average,4/10,"11000 East Exposition Avenue, Aurora, CO, 80012"
6042,Aps Online School,Below average,4/10,"11700 East 11th Avenue, Aurora, CO, 80010"
6043,Options School,Below average,4/10,"16500 East Smoky Hill Road, Aurora, CO, 80015"
6044,New Legacy Charter School,Below average,4/10,"2091 Dayton Street, Aurora, CO, 80010"
6045,The Goddard School - Aurora,Currently unrated,4/10,"21805 East Quincy Avenue, Aurora, CO, 80018"
6046,The Goddard School - Aurora (South),Currently unrated,4/10,"23905 East Arapahoe Road, Aurora, CO, 80016"
6047,Jamaica Child Development Center,Currently unrated,4/10,"800 Jamaica Street, Aurora, CO, 80010"
6048,Gateway Academy Child Development Centers,Currently unrated,4/10,"5637 S Himalaya St, Aurora, CO, 80015"
6049,Primrose School of Tallgrass,Currently unrated,4/10,"21537 E. Quincy Avenue, Aurora, CO, 80015"
6050,Regis Jesuit High School Girls Div,Currently unrated,4/10,"6300 S Lewiston Way, Aurora, CO, 80016"
6051,Kinder Care Learning Center #355,Currently unrated,4/10,"1770 South Helena Street, Aurora, CO, 80017"
6052,Polton Ecs Program,Currently unrated,4/10,"2985 South Oakland Street, Aurora, CO, 80014"
6053,St Pius X Pre-Kindergarten,Currently unrated,4/10,"13680 East 14th Place, Aurora, CO, 80011"
6054,Fox Hollow Pre-School,Currently unrated,4/10,"6363 South Waco Street, Aurora, CO, 80016"
6055,Trails West Pre-School,Currently unrated,4/10,"5400 S Waco St, Aurora, CO, 80015"
6056,Dakota Valley Pre-School,Currently unrated,4/10,"3950 South Kirk Way, Aurora, CO, 80013"
6057,Club 4 Kids Cc Piney Creek,Currently unrated,4/10,"15432 East Orchard Road, Aurora, CO, 80016"
6058,Rocky Mountain Public Child Care Center,Currently unrated,4/10,"1590 Galena Street, Aurora, CO, 80010"
6059,Buffalo Trail Ext Child Care Center,Currently unrated,4/10,"24300 East Progress Drive, Aurora, CO, 80016"
6060,Canyon Creek Pre-School,Currently unrated,4/10,"6070 South Versailles Parkway, Aurora, CO, 80015"
6061,Altura Child Care Center,Currently unrated,4/10,"1650 Altura Boulevard, Aurora, CO, 80011"
6062,Little Rapters Dcc,Currently unrated,4/10,"5100 South Picadilly Street, Aurora, CO, 80015"
6063,St Therese Extended Child Care Center,Currently unrated,4/10,"1200 Kenton Street, Aurora, CO, 80010"
6064,Jamaica Child Development Center,Currently unrated,4/10,"800 Jamaica Street, Aurora, CO, 80010"
6065,Jamaica Center Head Start,Currently unrated,4/10,"852 Jamaica Street, Aurora, CO, 80010"
6066,Highline Head Start,Currently unrated,4/10,"11000 East Exposition Avenue, Aurora, CO, 80012"
6067,Sunrise Pre-School,Currently unrated,4/10,"4050 South Genoa Way, Aurora, CO, 80013"
6068,Gateway Academy Cdc,Currently unrated,4/10,"5637 South Himalaya Street, Aurora, CO, 80015"
6069,New Legacy Charter School,Below average,4/10,"2091 Dayton Street, Aurora, CO, 80010"
6070,The Goddard School - Aurora,Currently unrated,4/10,"21805 East Quincy Avenue, Aurora, CO, 80018"
6071,The Goddard School - Aurora (South),Currently unrated,4/10,"23905 East Arapahoe Road, Aurora, CO, 80016"
6072,Jamaica Child Development Center,Currently unrated,4/10,"800 Jamaica Street, Aurora, CO, 80010"
6073,Gateway Academy Child Development Centers,Currently unrated,4/10,"5637 S Himalaya St, Aurora, CO, 80015"
6074,Primrose School of Tallgrass,Currently unrated,4/10,"21537 E. Quincy Avenue, Aurora, CO, 80015"
6075,Regis Jesuit High School Girls Div,Currently unrated,4/10,"6300 S Lewiston Way, Aurora, CO, 80016"
6076,Kinder Care Learning Center #355,Currently unrated,4/10,"1770 South Helena Street, Aurora, CO, 80017"
6077,Polton Ecs Program,Currently unrated,4/10,"2985 South Oakland Street, Aurora, CO, 80014"
6078,St Pius X Pre-Kindergarten,Currently unrated,4/10,"13680 East 14th Place, Aurora, CO, 80011"
6079,Fox Hollow Pre-School,Currently unrated,4/10,"6363 South Waco Street, Aurora, CO, 80016"
6080,Trails West Pre-School,Currently unrated,4/10,"5400 S Waco St, Aurora, CO, 80015"
6081,Dakota Valley Pre-School,Currently unrated,4/10,"3950 South Kirk Way, Aurora, CO, 80013"
6082,Club 4 Kids Cc Piney Creek,Currently unrated,4/10,"15432 East Orchard Road, Aurora, CO, 80016"
6083,Rocky Mountain Public Child Care Center,Currently unrated,4/10,"1590 Galena Street, Aurora, CO, 80010"
6084,Buffalo Trail Ext Child Care Center,Currently unrated,4/10,"24300 East Progress Drive, Aurora, CO, 80016"
6085,Canyon Creek Pre-School,Currently unrated,4/10,"6070 South Versailles Parkway, Aurora, CO, 80015"
6086,Altura Child Care Center,Currently unrated,4/10,"1650 Altura Boulevard, Aurora, CO, 80011"
6087,Little Rapters Dcc,Currently unrated,4/10,"5100 South Picadilly Street, Aurora, CO, 80015"
6088,St Therese Extended Child Care Center,Currently unrated,4/10,"1200 Kenton Street, Aurora, CO, 80010"
6089,Jamaica Child Development Center,Currently unrated,4/10,"800 Jamaica Street, Aurora, CO, 80010"
6090,Jamaica Center Head Start,Currently unrated,4/10,"852 Jamaica Street, Aurora, CO, 80010"
6091,Highline Head Start,Currently unrated,4/10,"11000 East Exposition Avenue, Aurora, CO, 80012"
6092,Sunrise Pre-School,Currently unrated,4/10,"4050 South Genoa Way, Aurora, CO, 80013"
6093,Gateway Academy Cdc,Currently unrated,4/10,"5637 South Himalaya Street, Aurora, CO, 80015"
6094,Lake House Child Care Center-Southshore,Currently unrated,3/10,"27151 East Lakeview Drive, Aurora, CO, 80016"
6095,Children's Hospital Ecc,Currently unrated,3/10,"2255 North Wheeling Street, Aurora, CO, 80045"
6096,Learning Experience,Currently unrated,3/10,"7326 South Gartrell Road, Aurora, CO, 80016"
6097,Primrose School Dc-Tallgrass,Currently unrated,3/10,"21537 East Quincy Avenue, Aurora, CO, 80013"
6098,Creative Options Child Care Center- For Ee,Currently unrated,3/10,"345 South Ironton Street, Aurora, CO, 80012"
6099,Little Angel's Day Care,Currently unrated,3/10,"13963 East Exposition Avenue, Aurora, CO, 80012"
6100,Tiny Tots Dc-Aurora,Currently unrated,3/10,"3054 South Laredo Street, Aurora, CO, 80013"
6101,Calvary Christian Academy,Currently unrated,3/10,"18900 East Hampden Avenue, Aurora, CO, 80013"
6102,For His Glory Christian Learning Center,Currently unrated,3/10,"11373 East Alameda Avenue, Aurora, CO, 80012"
6103,Montessori School Of Cherry Creek,Currently unrated,3/10,"6780 S Liverpool St Unit A & B, Aurora, CO, 80016"
6104,Meadowood Child Development Center,Currently unrated,3/10,"3333 South Norfolk Way, Aurora, CO, 80013"
6105,Children's Playland Early Learning Center and Preschool,Currently unrated,3/10,"1555 South Havana Street, Aurora, CO, 80012"
6106,St Michael The Archangel Catholic School,Currently unrated,3/10,"19099 E. Floyd Ave, Aurora, CO, 80013"
6107,Prairie Preschool,Currently unrated,3/10,"12600 East Jewell Avenue, Aurora, CO, 80012"
6108,Aps Early Beginnings - A Zoom Site,Currently unrated,3/10,"812 Jamaica Street, Aurora, CO, 80010"
6109,Early Learning Center At New Legacy Charter School,Currently unrated,3/10,"2091 Dayton Street, Aurora, CO, 80010"
6110,Merryhill School Aurora,Currently unrated,3/10,"5678 South Himalaya Street, Aurora, CO, 80015"
6111,One Step Academy,Currently unrated,3/10,"1300 N. Jamaica Street, Aurora, CO, 80010"
6112,Paris Elementary School,Currently unrated,3/10,"1635 Paris Street, Aurora, CO, 80010"
6113,Aurora Public Schools Child Development Center,Currently unrated,3/10,"1420 Laredo Street, Aurora, CO, 80011"
6114,St Therese Catholic School,Currently unrated,3/10,"1200 Kenton Street, Aurora, CO, 80010"
6115,St Pius X Catholic School,Currently unrated,3/10,"13680 East 14th Place, Aurora, CO, 80011"
6116,Hope Lutheran School,Currently unrated,3/10,"1345 Macon Street, Aurora, CO, 80010"
6117,Cedar Wood Christian Academy,Currently unrated,3/10,"Po Box 111389, Aurora, CO, 80042"
6118,Rocky Mountain Christian Academy,Currently unrated,3/10,"1294 Fraser St., Aurora, CO, 80011"
6119,Lake House Child Care Center-Southshore,Currently unrated,3/10,"27151 East Lakeview Drive, Aurora, CO, 80016"
6120,Children's Hospital Ecc,Currently unrated,3/10,"2255 North Wheeling Street, Aurora, CO, 80045"
6121,Learning Experience,Currently unrated,3/10,"7326 South Gartrell Road, Aurora, CO, 80016"
6122,Primrose School Dc-Tallgrass,Currently unrated,3/10,"21537 East Quincy Avenue, Aurora, CO, 80013"
6123,Creative Options Child Care Center- For Ee,Currently unrated,3/10,"345 South Ironton Street, Aurora, CO, 80012"
6124,Little Angel's Day Care,Currently unrated,3/10,"13963 East Exposition Avenue, Aurora, CO, 80012"
6125,Tiny Tots Dc-Aurora,Currently unrated,3/10,"3054 South Laredo Street, Aurora, CO, 80013"
6126,Calvary Christian Academy,Currently unrated,3/10,"18900 East Hampden Avenue, Aurora, CO, 80013"
6127,For His Glory Christian Learning Center,Currently unrated,3/10,"11373 East Alameda Avenue, Aurora, CO, 80012"
6128,Montessori School Of Cherry Creek,Currently unrated,3/10,"6780 S Liverpool St Unit A & B, Aurora, CO, 80016"
6129,Meadowood Child Development Center,Currently unrated,3/10,"3333 South Norfolk Way, Aurora, CO, 80013"
6130,Children's Playland Early Learning Center and Preschool,Currently unrated,3/10,"1555 South Havana Street, Aurora, CO, 80012"
6131,St Michael The Archangel Catholic School,Currently unrated,3/10,"19099 E. Floyd Ave, Aurora, CO, 80013"
6132,Prairie Preschool,Currently unrated,3/10,"12600 East Jewell Avenue, Aurora, CO, 80012"
6133,Aps Early Beginnings - A Zoom Site,Currently unrated,3/10,"812 Jamaica Street, Aurora, CO, 80010"
6134,Early Learning Center At New Legacy Charter School,Currently unrated,3/10,"2091 Dayton Street, Aurora, CO, 80010"
6135,Merryhill School Aurora,Currently unrated,3/10,"5678 South Himalaya Street, Aurora, CO, 80015"
6136,One Step Academy,Currently unrated,3/10,"1300 N. Jamaica Street, Aurora, CO, 80010"
6137,Paris Elementary School,Currently unrated,3/10,"1635 Paris Street, Aurora, CO, 80010"
6138,Aurora Public Schools Child Development Center,Currently unrated,3/10,"1420 Laredo Street, Aurora, CO, 80011"
6139,St Therese Catholic School,Currently unrated,3/10,"1200 Kenton Street, Aurora, CO, 80010"
6140,St Pius X Catholic School,Currently unrated,3/10,"13680 East 14th Place, Aurora, CO, 80011"
6141,Hope Lutheran School,Currently unrated,3/10,"1345 Macon Street, Aurora, CO, 80010"
6142,Cedar Wood Christian Academy,Currently unrated,3/10,"Po Box 111389, Aurora, CO, 80042"
6143,Rocky Mountain Christian Academy,Currently unrated,3/10,"1294 Fraser St., Aurora, CO, 80011"
6144,Crescent View Academy,Currently unrated,3/10,"10958 E Bethany Dr, Aurora, CO, 80014"
6145,Wood Adventist Christian School,Currently unrated,3/10,"1159 South Moline Street, Aurora, CO, 80012"
6146,Peace with Christ Christian School,Currently unrated,3/10,"3290 S Tower Rd, Aurora, CO, 80013"
6147,Children's Learning Club,Currently unrated,3/10,"4446 S Jasper Street, Aurora, CO, 80015"
6148,Bethel Christian School,Currently unrated,3/10,"1450 Airport Boulevard, Aurora, CO, 80011"
6149,A Brighter Tomorrow,Currently unrated,3/10,"12300 E Cornell Ave # F, Aurora, CO, 80014"
6150,Queen of Peace Pre-K/Kindergarten,Currently unrated,3/10,"1040 South Uvalda Street, Aurora, CO, 80012"
6151,Kay's Academy,Currently unrated,3/10,"14499 East Montana Circle, Aurora, CO, 80012"
6152,Mount Olive Lutheran Early Childhood Education Center,Currently unrated,3/10,"11500 E Iliff Ave, Aurora, CO, 80014"
6153,Excelsior Youth Center,Currently unrated,3/10,"15001 East Oxford Avenue, Aurora, CO, 80014"
6154,Christ Our Redeemer Lutheran School,Currently unrated,3/10,"17700 E Iliff Ave, Aurora, CO, 80013"
6155,Regis Jesuit High School,Currently unrated,3/10,"6400 South Lewiston Way, Aurora, CO, 80016"
6156,Meadowood Christian School,Currently unrated,3/10,"16051 E Dartmouth Ave, Aurora, CO, 80013"
6157,St Mark's Pre-School,Currently unrated,3/10,"111 Del Mar Circle, Aurora, CO, 80011"
6158,Holy Love Preschool & Kindergarten,Currently unrated,3/10,"4210 South Chambers Road, Aurora, CO, 80014"
6159,Children's Learning Club,Currently unrated,3/10,"1465 Dayton St, Aurora, CO, 80010"
6160,Aurora's Children,Currently unrated,3/10,"15355 E Colfax Ave, Aurora, CO, 80011"
6161,La Petite Academy #7252,Currently unrated,3/10,"17391 East Wagontrail Parkway, Aurora, CO, 80015"
6162,Primrose School Of Saddle Rock,Currently unrated,3/10,"5950 South Gun Club Road, Aurora, CO, 80016"
6163,Belle's & Beau's Academy At The Farm,Currently unrated,3/10,"6150 South Tower Road, Aurora, CO, 80016"
6164,Aurora Christian Learning Center,Currently unrated,3/10,"11001-B East Alameda Avenue, Aurora, CO, 80012"
6165,Positive Alternative Pre-School,Currently unrated,3/10,"11002 East Yale Avenue, Aurora, CO, 80014"
6166,Mt Olive Lutheran Pre-School,Currently unrated,3/10,"11500 East Iliff Avenue, Aurora, CO, 80014"
6167,Siunrise Day Care,Currently unrated,3/10,"12182 East Mississippi Avenue, Aurora, CO, 80012"
6168,Kinder Care Learning Center 000248,Currently unrated,3/10,"12291 East Cornell Avenue, Aurora, CO, 80014"
6169,Crescent View Academy,Currently unrated,3/10,"10958 E Bethany Dr, Aurora, CO, 80014"
6170,Wood Adventist Christian School,Currently unrated,3/10,"1159 South Moline Street, Aurora, CO, 80012"
6171,Peace with Christ Christian School,Currently unrated,3/10,"3290 S Tower Rd, Aurora, CO, 80013"
6172,Children's Learning Club,Currently unrated,3/10,"4446 S Jasper Street, Aurora, CO, 80015"
6173,Bethel Christian School,Currently unrated,3/10,"1450 Airport Boulevard, Aurora, CO, 80011"
6174,A Brighter Tomorrow,Currently unrated,3/10,"12300 E Cornell Ave # F, Aurora, CO, 80014"
6175,Queen of Peace Pre-K/Kindergarten,Currently unrated,3/10,"1040 South Uvalda Street, Aurora, CO, 80012"
6176,Kay's Academy,Currently unrated,3/10,"14499 East Montana Circle, Aurora, CO, 80012"
6177,Mount Olive Lutheran Early Childhood Education Center,Currently unrated,3/10,"11500 E Iliff Ave, Aurora, CO, 80014"
6178,Excelsior Youth Center,Currently unrated,3/10,"15001 East Oxford Avenue, Aurora, CO, 80014"
6179,Christ Our Redeemer Lutheran School,Currently unrated,3/10,"17700 E Iliff Ave, Aurora, CO, 80013"
6180,Regis Jesuit High School,Currently unrated,3/10,"6400 South Lewiston Way, Aurora, CO, 80016"
6181,Meadowood Christian School,Currently unrated,3/10,"16051 E Dartmouth Ave, Aurora, CO, 80013"
6182,St Mark's Pre-School,Currently unrated,3/10,"111 Del Mar Circle, Aurora, CO, 80011"
6183,Holy Love Preschool & Kindergarten,Currently unrated,3/10,"4210 South Chambers Road, Aurora, CO, 80014"
6184,Children's Learning Club,Currently unrated,3/10,"1465 Dayton St, Aurora, CO, 80010"
6185,Aurora's Children,Currently unrated,3/10,"15355 E Colfax Ave, Aurora, CO, 80011"
6186,La Petite Academy #7252,Currently unrated,3/10,"17391 East Wagontrail Parkway, Aurora, CO, 80015"
6187,Primrose School Of Saddle Rock,Currently unrated,3/10,"5950 South Gun Club Road, Aurora, CO, 80016"
6188,Belle's & Beau's Academy At The Farm,Currently unrated,3/10,"6150 South Tower Road, Aurora, CO, 80016"
6189,Aurora Christian Learning Center,Currently unrated,3/10,"11001-B East Alameda Avenue, Aurora, CO, 80012"
6190,Positive Alternative Pre-School,Currently unrated,3/10,"11002 East Yale Avenue, Aurora, CO, 80014"
6191,Mt Olive Lutheran Pre-School,Currently unrated,3/10,"11500 East Iliff Avenue, Aurora, CO, 80014"
6192,Siunrise Day Care,Currently unrated,3/10,"12182 East Mississippi Avenue, Aurora, CO, 80012"
6193,Kinder Care Learning Center 000248,Currently unrated,3/10,"12291 East Cornell Avenue, Aurora, CO, 80014"
6194,Bennie E Goodwin Chld Care Center,Currently unrated,3/10,"12400 Hoffman Boulevard, Aurora, CO, 80011"
6195,Growing World Too,Currently unrated,3/10,"12444 E Parkview Dr, Aurora, CO, 80011"
6196,Tiny Tots Pre-School,Currently unrated,3/10,"1300 S Chambers Cir, Aurora, CO, 80012"
6197,Top Academy Day Care,Currently unrated,2/10,"1342 S Chambers Rd, Aurora, CO, 80017"
6198,Kids Kingdom,Currently unrated,2/10,"13674 E Alameda Ave, Aurora, CO, 80012"
6199,Gabriel's Light Learning Center,Currently unrated,2/10,"1400 Ironton Street, Aurora, CO, 80010"
6200,Creative Kids Discovery Center,Currently unrated,2/10,"1410 Laredo St, Aurora, CO, 80011"
6201,Little Debbie Dream,Currently unrated,2/10,"14281 E Exposition, Aurora, CO, 80012"
6202,Cherry Grove Prs & Child Care Center,Currently unrated,2/10,"14303 East Evans Avenue, Aurora, CO, 80014"
6203,The Sunshine House,Currently unrated,2/10,"14415 East Smoky Hill Road, Aurora, CO, 80015"
6204,Serenity Education & Day Care,Currently unrated,2/10,"14759 E Pacific Pl, Aurora, CO, 80014"
6205,Happy Day Learning Center Of Aurora,Currently unrated,2/10,"15071 East Mississippi Avenue, Aurora, CO, 80012"
6206,Orchard Valley Learning Center,Currently unrated,2/10,"15100 East Orchard Road, Aurora, CO, 80016"
6207,Kid's Campus,Currently unrated,2/10,"15132 East Hampton Ave, Aurora, CO, 80017"
6208,Kids Campus,Currently unrated,2/10,"15132 East Hampden Avenue, Aurora, CO, 80014"
6209,Carefree Early Learning Center,Currently unrated,2/10,"15151 East Wesley Avenue, Aurora, CO, 80014"
6210,Orchard Valley Learning Center,Currently unrated,2/10,"15100 East Orchard Road, Aurora, CO, 80016"
6211,A Plus Learning Center,Currently unrated,2/10,"15250 East 6th Avenue, Aurora, CO, 80011"
6212,J S Elite Academy,Currently unrated,2/10,"15445 E Iliff Arc Unit A, Aurora, CO, 80013"
6213,Meadowood Christian School,Currently unrated,2/10,"16051 East Dartmouth Avenue, Aurora, CO, 80013"
6214,Creative Options Head Start,Currently unrated,2/10,"1633 Florence Street, Aurora, CO, 80010"
6215,Kids Adventures Day Care,Currently unrated,2/10,"16701 East Iowa Avenue, Aurora, CO, 80017"
6216,Children's Cottage,Currently unrated,2/10,"1695 Alton St, Aurora, CO, 80010"
6217,Tutor Time AA Child Care Learning,Currently unrated,2/10,"16992 E Quincy Ave, Aurora, CO, 80015"
6218,Aurora YMCA CC-Arkansas,Currently unrated,2/10,"17301 E Arkansas Ave # F, Aurora, CO, 80017"
6219,Bennie E Goodwin Chld Care Center,Currently unrated,3/10,"12400 Hoffman Boulevard, Aurora, CO, 80011"
6220,Growing World Too,Currently unrated,3/10,"12444 E Parkview Dr, Aurora, CO, 80011"
6221,Tiny Tots Pre-School,Currently unrated,3/10,"1300 S Chambers Cir, Aurora, CO, 80012"
6222,Top Academy Day Care,Currently unrated,2/10,"1342 S Chambers Rd, Aurora, CO, 80017"
6223,Kids Kingdom,Currently unrated,2/10,"13674 E Alameda Ave, Aurora, CO, 80012"
6224,Gabriel's Light Learning Center,Currently unrated,2/10,"1400 Ironton Street, Aurora, CO, 80010"
6225,Creative Kids Discovery Center,Currently unrated,2/10,"1410 Laredo St, Aurora, CO, 80011"
6226,Little Debbie Dream,Currently unrated,2/10,"14281 E Exposition, Aurora, CO, 80012"
6227,Cherry Grove Prs & Child Care Center,Currently unrated,2/10,"14303 East Evans Avenue, Aurora, CO, 80014"
6228,The Sunshine House,Currently unrated,2/10,"14415 East Smoky Hill Road, Aurora, CO, 80015"
6229,Serenity Education & Day Care,Currently unrated,2/10,"14759 E Pacific Pl, Aurora, CO, 80014"
6230,Happy Day Learning Center Of Aurora,Currently unrated,2/10,"15071 East Mississippi Avenue, Aurora, CO, 80012"
6231,Orchard Valley Learning Center,Currently unrated,2/10,"15100 East Orchard Road, Aurora, CO, 80016"
6232,Kid's Campus,Currently unrated,2/10,"15132 East Hampton Ave, Aurora, CO, 80017"
6233,Kids Campus,Currently unrated,2/10,"15132 East Hampden Avenue, Aurora, CO, 80014"
6234,Carefree Early Learning Center,Currently unrated,2/10,"15151 East Wesley Avenue, Aurora, CO, 80014"
6235,Orchard Valley Learning Center,Currently unrated,2/10,"15100 East Orchard Road, Aurora, CO, 80016"
6236,A Plus Learning Center,Currently unrated,2/10,"15250 East 6th Avenue, Aurora, CO, 80011"
6237,J S Elite Academy,Currently unrated,2/10,"15445 E Iliff Arc Unit A, Aurora, CO, 80013"
6238,Meadowood Christian School,Currently unrated,2/10,"16051 East Dartmouth Avenue, Aurora, CO, 80013"
6239,Creative Options Head Start,Currently unrated,2/10,"1633 Florence Street, Aurora, CO, 80010"
6240,Kids Adventures Day Care,Currently unrated,2/10,"16701 East Iowa Avenue, Aurora, CO, 80017"
6241,Children's Cottage,Currently unrated,2/10,"1695 Alton St, Aurora, CO, 80010"
6242,Tutor Time AA Child Care Learning,Currently unrated,2/10,"16992 E Quincy Ave, Aurora, CO, 80015"
6243,Aurora YMCA CC-Arkansas,Currently unrated,2/10,"17301 E Arkansas Ave # F, Aurora, CO, 80017"
6244,Tiny Tots Day Care-Meadowwood,Currently unrated,2/10,"17400 East Lehigh Place, Aurora, CO, 80013"
6245,Tiny Tots Day Care-Summer Valley,Currently unrated,2/10,"17400 E Lehigh Place, Aurora, CO, 80013"
6246,ABC Toddler Care,Currently unrated,1/10,"1770 S Buckley Rd, Aurora, CO, 80017"
6247,Noah's Ark Pre-School & Day Care,Currently unrated,1/10,"1880 Eagle St, Aurora, CO, 80011"
6248,St Michael Pre-School,Currently unrated,1/10,"19099 East Floyd Avenue, Aurora, CO, 80013"
6249,One of A Kind Child Care Center,Currently unrated,1/10,"1911 Clinton, Aurora, CO, 80011"
6250,Little Ones Learning Center,Currently unrated,1/10,"South Havana Street, Aurora, CO, 80014"
6251,A/M Learning Center,Currently unrated,1/10,"1981 Alton St, Aurora, CO, 80010"
6252,Mary Schulze Day Care,Currently unrated,1/10,"20786 East Powers Circle, Aurora, CO, 80015"
6253,Plains Conservation Center,Currently unrated,2/10,"21901 E Hampden Ave, Aurora, CO, 80013"
6254,Kid Town,Currently unrated,2/10,"6140 South Gun Club Road #2, Aurora, CO, 80016"
6255,I B G Learning Center,Currently unrated,1/10,"2525 Geneva St, Aurora, CO, 80015"
6256,Parker Learning Center,Currently unrated,1/10,"3104 South Parker Road, Aurora, CO, 80014"
6257,Peace With Christ Learning Center,Currently unrated,1/10,"3290 South Tower Road, Aurora, CO, 80013"
6258,First Step Inf & Toddler Center,Currently unrated,1/10,"406 South Chambers Road, Aurora, CO, 80017"
6259,Sally Sunbeam Learning Center,Currently unrated,1/10,"4200 Marguerite Parkway, Aurora, CO, 80013"
6260,La Petite Academy #42,Currently unrated,1/10,"4290 South Richfield Street, Aurora, CO, 80013"
6261,Aurora Family YMCA,Currently unrated,1/10,"445 S Lansing St, Aurora, CO, 80012"
6262,Kids Tech Child Care Lab Center,Currently unrated,7/10,"500 Airport Boulevard, Aurora, CO, 80011"
6263,Youth Sports Day Care-Aurora,Currently unrated,6/10,"5250 S Picadilly, Aurora, CO, 80015"
6264,Sixth Avenue Pre-School,Currently unrated,6/10,"560 Vaughn Street, Aurora, CO, 80011"
6265,Himalaya Kindercare,Currently unrated,5/10,"5678 South Himalaya Street, Aurora, CO, 80015"
6266,Sandra Campbell Day Care,Currently unrated,2/10,"5716 S Quatar Ct, Aurora, CO, 80015"
6267,Montessori School-Cherry Creek,Currently unrated,1/10,"6780 South Liverpool Street, Aurora, CO, 80016"
6268,Beck Pre-School,Currently unrated,7/10,"800 Telluride Street, Aurora, CO, 80011"
6269,Tiny Tots Day Care-Meadowwood,Currently unrated,6/10,"17400 East Lehigh Place, Aurora, CO, 80013"
6270,Tiny Tots Day Care-Summer Valley,Currently unrated,6/10,"17400 E Lehigh Place, Aurora, CO, 80013"
6271,ABC Toddler Care,Currently unrated,5/10,"1770 S Buckley Rd, Aurora, CO, 80017"
6272,Noah's Ark Pre-School & Day Care,Currently unrated,2/10,"1880 Eagle St, Aurora, CO, 80011"
6273,St Michael Pre-School,Currently unrated,1/10,"19099 East Floyd Avenue, Aurora, CO, 80013"
6274,One of A Kind Child Care Center,Currently unrated,8/10,"1911 Clinton, Aurora, CO, 80011"
6275,Little Ones Learning Center,Currently unrated,7/10,"South Havana Street, Aurora, CO, 80014"
6276,A/M Learning Center,Currently unrated,7/10,"1981 Alton St, Aurora, CO, 80010"
6277,Mary Schulze Day Care,Currently unrated,7/10,"20786 East Powers Circle, Aurora, CO, 80015"
6278,Plains Conservation Center,Currently unrated,6/10,"21901 E Hampden Ave, Aurora, CO, 80013"
6279,Kid Town,Currently unrated,6/10,"6140 South Gun Club Road #2, Aurora, CO, 80016"
6280,I B G Learning Center,Currently unrated,6/10,"2525 Geneva St, Aurora, CO, 80015"
6281,Parker Learning Center,Currently unrated,6/10,"3104 South Parker Road, Aurora, CO, 80014"
6282,Peace With Christ Learning Center,Currently unrated,6/10,"3290 South Tower Road, Aurora, CO, 80013"
6283,First Step Inf & Toddler Center,Currently unrated,6/10,"406 South Chambers Road, Aurora, CO, 80017"
6284,Sally Sunbeam Learning Center,Currently unrated,5/10,"4200 Marguerite Parkway, Aurora, CO, 80013"
6285,La Petite Academy #42,Currently unrated,5/10,"4290 South Richfield Street, Aurora, CO, 80013"
6286,Aurora Family YMCA,Currently unrated,5/10,"445 S Lansing St, Aurora, CO, 80012"
6287,Kids Tech Child Care Lab Center,Currently unrated,5/10,"500 Airport Boulevard, Aurora, CO, 80011"
6288,Youth Sports Day Care-Aurora,Currently unrated,4/10,"5250 S Picadilly, Aurora, CO, 80015"
6289,Sixth Avenue Pre-School,Currently unrated,3/10,"560 Vaughn Street, Aurora, CO, 80011"
6290,Himalaya Kindercare,Currently unrated,3/10,"5678 South Himalaya Street, Aurora, CO, 80015"
6291,Sandra Campbell Day Care,Currently unrated,8/10,"5716 S Quatar Ct, Aurora, CO, 80015"
6292,Montessori School-Cherry Creek,Currently unrated,7/10,"6780 South Liverpool Street, Aurora, CO, 80016"
6293,Beck Pre-School,Currently unrated,7/10,"800 Telluride Street, Aurora, CO, 80011"
