,School,Type,Grades,Total students enrolled,Students per teacher,Reviews,District
14,"9/10Above averageWestlake High School1 awardAwards & BadgesCollege Success Award2020See all winners in Texas4100 Westbank Drive, Austin, TX, 78746 Homes for sale",Public district,7-12,2683.0,15:1,17 reviews,Eanes Independent School District
15,"9/10Above averageWest Ridge Middle School9201 Scenic Bluff Drive, Austin, TX, 78733 Homes for sale",Public district,6-8,922.0,14:1,10 reviews,Eanes Independent School District
16,"9/10Above averageBridge Point El6401 Cedar Street, Austin, TX, 78746 Homes for sale",Public district,K-5,655.0,15:1,8 reviews,Eanes Independent School District
17,"9/10Above averageSteiner Ranch Elementary School4001 North Quinlan Park Road, Austin, TX, 78732 Homes for sale",Public district,PK-5,543.0,15:1,13 reviews,Leander Independent School District
18,"9/10Above averageCasis Elementary School2710 Exposition Boulevard, Austin, TX, 78703 Homes for sale",Public district,PK-5,765.0,16:1,10 reviews,Austin Independent School District
19,"9/10Above averageSpicewood Elementary School11601 Olson Drive, Austin, TX, 78750 Homes for sale",Public district,K-5,807.0,16:1,16 reviews,Round Rock Independent School District
20,"9/10Above averagePurple Sage Elementary School11801 Tanglebriar Trail, Austin, TX, 78750 Homes for sale",Public district,PK-5,446.0,13:1,7 reviews,Round Rock Independent School District
21,"9/10Above averageCanyon Vista Middle School8455 Spicewood Springs Road, Austin, TX, 78759 Homes for sale",Public district,6-8,1347.0,16:1,14 reviews,Round Rock Independent School District
22,"9/10Above averageKiker Elementary School5913 La Crosse Avenue, Austin, TX, 78739 Homes for sale",Public district,PK-5,1111.0,16:1,31 reviews,Austin Independent School District
23,"9/10Above averageBowie High School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Texas4103 West Slaughter Lane, Austin, TX, 78749 Homes for sale",Public district,9-12,2880.0,18:1,12 reviews,Austin Independent School District
24,"9/10Above averageMills Elementary School6201 Davis Lane, Austin, TX, 78749 Homes for sale",Public district,PK-5,854.0,15:1,7 reviews,Austin Independent School District
0,"9/10Above averageDowntown Elementary School2021 M Street, Bakersfield, CA, 93301 Homes for sale",Public district,K-8,316.0,22:1,4 reviews,Bakersfield City School District
1,"8/10Above averageFrontier High School6401 Allen Road, Bakersfield, CA, 93314 Homes for sale",Public district,9-12,2233.0,27:1,5 reviews,Kern Union High School District
2,"8/10Above averageAmerican Elementary School800 Verdugo, Bakersfield, CA, 93312 Homes for sale",Public district,K-6,731.0,21:1,19 reviews,Rosedale Union Elementary School District
3,"8/10Above averageVeterans Elementary School6301 Old Farm Road, Bakersfield, CA, 93312 Homes for sale",Public district,K-6,954.0,23:1,7 reviews,Norris Elementary School District
4,"8/10Above averageCesar E. Chavez Elementary School4201 Mesa Marin Drive, Bakersfield, CA, 93306 Homes for sale",Public district,K-6,633.0,16:1,9 reviews,Bakersfield City School District
5,"8/10Above averageEndeavour Elementary School9300 Meacham Road, Bakersfield, CA, 93312 Homes for sale",Public district,K-6,764.0,22:1,6 reviews,Fruitvale Elementary School District
6,"8/10Above averageFruitvale Junior High School2114 Calloway Drive, Bakersfield, CA, 93312 Homes for sale",Public district,7-8,693.0,21:1,7 reviews,Fruitvale Elementary School District
7,"8/10Above averageW. A. Kendrick Elementary School2200 Faith Avenue, Bakersfield, CA, 93304 Homes for sale",Public district,K-5,817.0,23:1,9 reviews,Greenfield Union School District
8,"8/10Above averageStockdale High School2800 Buena Vista Road, Bakersfield, CA, 93311 Homes for sale",Public district,9-12,2323.0,27:1,7 reviews,Kern Union High School District
9,"8/10Above averageRonald Reagan Elementary School10800 Rosslyn Lane, Bakersfield, CA, 93311 Homes for sale",Public district,K-6,942.0,25:1,18 reviews,Panama-Buena Vista Union School District
10,"8/10Above averageStockdale Elementary School7801 Kroll Way, Bakersfield, CA, 93309 Homes for sale",Public district,K-6,638.0,22:1,4 reviews,Panama-Buena Vista Union School District
11,"8/10Above averageAlmondale Elementary School10510 Chippewa Street, Bakersfield, CA, 93312 Homes for sale",Public district,K-6,621.0,19:1,1 review,Rosedale Union Elementary School District
12,"8/10Above averageRosedale Middle School12463 Rosedale Highway, Bakersfield, CA, 93312 Homes for sale",Public district,7-8,743.0,19:1,4 reviews,Rosedale Union Elementary School District
13,"7/10Above averageOld River Elementary School9815 Campus Park Drive, Bakersfield, CA, 93311 Homes for sale",Public district,K-6,866.0,27:1,3 reviews,Panama-Buena Vista Union School District
14,"7/10Above averageLiberty High School925 Jewetta Avenue, Bakersfield, CA, 93312 Homes for sale",Public district,9-12,2114.0,28:1,13 reviews,Kern Union High School District
15,"7/10Above averageFreedom Middle School11445 Noriega Road, Bakersfield, CA, 93312 Homes for sale",Public district,7-8,693.0,21:1,11 reviews,Rosedale Union Elementary School District
16,"7/10Above averageFranklin Elementary School2400 Truxtun Avenue, Bakersfield, CA, 93301 Homes for sale",Public district,K-6,552.0,23:1,3 reviews,Bakersfield City School District
17,"7/10Above averagePatriot Elementary School4410 Old Farm Road, Bakersfield, CA, 93312 Homes for sale",Public district,K-6,810.0,22:1,4 reviews,Rosedale Union Elementary School District
18,"7/10Above averageDiscovery Elementary School7500 Vaquero Avenue, Bakersfield, CA, 93308 Homes for sale",Public district,K-6,784.0,21:1,2 reviews,Fruitvale Elementary School District
19,"7/10Above averageGeneral Shafter Elementary School1825 Shafter Road, Bakersfield, CA, 93313 Homes for sale",Public district,K-8,159.0,16:1,1 review,General Shafter Elementary School District
20,"7/10Above averageCentennial High School8601 Hageman Road, Bakersfield, CA, 93312 Homes for sale",Public district,9-12,2022.0,26:1,8 reviews,Kern Union High School District
21,"7/10Above averageCentennial Elementary School15200 Westdale Drive, Bakersfield, CA, 93314 Homes for sale",Public district,K-6,490.0,22:1,7 reviews,Rosedale Union Elementary School District
22,"7/10Above averageDel Rio Elementary School600 Hidalgo Drive, Bakersfield, CA, 93314 Homes for sale",Public district,K-6,495.0,22:1,8 reviews,Rosedale Union Elementary School District
23,"7/10Above averageIndependence Elementary School2345 Old Farm Road, Bakersfield, CA, 93312 Homes for sale",Public district,K-6,738.0,21:1,6 reviews,Rosedale Union Elementary School District
24,"7/10Above averageRosedale-North Elementary School11500 Meacham Avenue, Bakersfield, CA, 93312 Homes for sale",Public district,K-6,476.0,15:1,3 reviews,Rosedale Union Elementary School District
0,"10/10Top ratedEastern Technical High School1100 Mace Avenue, Baltimore, MD, 21221 Homes for sale",Public district,9-12,1176.0,19:1,18 reviews,Baltimore County Public Schools
1,"9/10Above averageRodgers Forge Elementary School250 Dumbarton Road, Baltimore, MD, 21212 Homes for sale",Public district,K-5,433.0,17:1,4 reviews,Baltimore County Public Schools
2,"8/10Above averageBaltimore Polytechnic Institute1400 West Cold Spring Lane, Baltimore, MD, 21209 Homes for sale",Public district,9-12,1552.0,20:1,12 reviews,Baltimore City Public Schools
3,"8/10Above averageWest Towson Elementary School6916 North Charles Street, Baltimore, MD, 21204 Homes for sale",Public district,K-5,497.0,17:1,6 reviews,Baltimore County Public Schools
4,"8/10Above averageStoneleigh Elementary School900 Pemberton Road, Baltimore, MD, 21212 Homes for sale",Public district,K-5,780.0,17:1,10 reviews,Baltimore County Public Schools
5,"7/10Above averageBaltimore City College3220 The Alameda, Baltimore, MD, 21218 Homes for sale",Public district,9-12,1310.0,18:1,20 reviews,Baltimore City Public Schools
6,"7/10Above averageHampstead Hill Academy500 South Linwood Avenue, Baltimore, MD, 21224 Homes for sale",Public charter,PK-8,799.0,15:1,23 reviews,Baltimore City Public Schools
7,"7/10Above averageRoland Park Elementary/Middle School5207 Roland Ave, Baltimore, MD, 21210 Homes for sale",Public district,PK-8,1415.0,19:1,27 reviews,Baltimore City Public Schools
8,"7/10Above averageBaltimore School For The Arts712 Cathedral Street, Baltimore, MD, 21201 Homes for sale",Public district,9-12,414.0,16:1,20 reviews,Baltimore City Public Schools
9,"7/10Above averageSummit Park Elementary School6920 Diana Road, Baltimore, MD, 21209 Homes for sale",Public district,K-5,473.0,14:1,11 reviews,Baltimore County Public Schools
10,"6/10AverageFederal Hill Preparatory School1040 William Street, Baltimore, MD, 21230 Homes for sale",Public district,PK-5,339.0,17:1,28 reviews,Baltimore City Public Schools
11,"6/10AverageHampden Elementary/Middle School3608 Chestnut Avenue, Baltimore, MD, 21211 Homes for sale",Public district,PK-8,449.0,18:1,20 reviews,Baltimore City Public Schools
12,"6/10AverageEmpowerment Academy851 Braddish Avenue, Baltimore, MD, 21216 Homes for sale",Public charter,PK-8,252.0,14:1,13 reviews,Baltimore City Public Schools
13,"6/10AverageLakeland Elementary/Middle School2921 Stranden Road, Baltimore, MD, 21230 Homes for sale",Public district,PK-8,851.0,14:1,14 reviews,Baltimore City Public Schools
14,"6/10AverageMedfield Heights Elementary School4300 Buchanan Avenue, Baltimore, MD, 21211 Homes for sale",Public district,PK-5,387.0,16:1,8 reviews,Baltimore City Public Schools
15,"6/10AverageThomas Johnson Elementary School100 East Heath Street, Baltimore, MD, 21230 Homes for sale",Public district,PK-8,544.0,19:1,28 reviews,Baltimore City Public Schools
16,"6/10AverageWestern High School4600 Falls Road, Baltimore, MD, 21209 Homes for sale",Public district,9-12,1038.0,18:1,18 reviews,Baltimore City Public Schools
17,"6/10AverageOrems Elementary School711 High Villa Road, Baltimore Highvilla Road, Baltimore, MD, 21221 Homes for sale",Public district,PK-5,318.0,18:1,5 reviews,Baltimore County Public Schools
18,"6/10AverageTunbridge Public Charter School5504 York Road, Baltimore, MD, 21212 Homes for sale",Public charter,PK-8,470.0,17:1,35 reviews,Baltimore City Public Schools
19,"5/10AverageCross Country Elementary School6100 Cross Country Boulevard, Baltimore, MD, 21215 Homes for sale",Public district,PK-8,725.0,17:1,27 reviews,Baltimore City Public Schools
20,"5/10AverageWolfe Street Academy245 South Wolfe Street, Baltimore, MD, 21231 Homes for sale",Public charter,PK-5,235.0,11:1,3 reviews,Baltimore City Public Schools
21,"5/10AverageHamilton Elementary/Middle School6101 Old Harford Road, Baltimore, MD, 21214 Homes for sale",Public district,PK-8,813.0,18:1,27 reviews,Baltimore City Public Schools
22,"5/10AverageNorthwood Appold Community Academy4417 Loch Raven Boulevard, Baltimore, MD, 21218 Homes for sale",Public charter,K-5,193.0,16:1,6 reviews,Baltimore City Public Schools
23,"5/10AveragePatterson Park Public Charter School27 North Lakewood Avenue, Baltimore, MD, 21224 Homes for sale",Public charter,PK-8,709.0,14:1,10 reviews,Baltimore City Public Schools
24,"5/10AverageMount Royal Elementary/Middle School121 Mc Mechen St, Baltimore, MD, 21217 Homes for sale",Public district,PK-8,713.0,16:1,26 reviews,Baltimore City Public Schools
0,"9/10Above averageMary Snow School435 Broadway, Bangor, ME, 04401 Homes for sale",Public district,4-5,259.0,17:1,2 reviews,Bangor Public Schools
1,"8/10Above averageWilliam S. Cohen School304 Garland Street, Bangor, ME, 04401 Homes for sale",Public district,6-8,436.0,17:1,4 reviews,Bangor Public Schools
2,"7/10Above averageFairmount School58 13th Street, Bangor, ME, 04401 Homes for sale",Public district,4-5,289.0,14:1,4 reviews,Bangor Public Schools
3,"7/10Above averageJames F. Doughty School143 5th Street, Bangor, ME, 04401 Homes for sale",Public district,6-8,368.0,15:1,6 reviews,Bangor Public Schools
4,"6/10AverageVine Street School66 Vine Street, Bangor, ME, 04401 Homes for sale",Public district,PK-3,169.0,15:1,3 reviews,Bangor Public Schools
5,"5/10AverageDowneast School100 Moosehead Boulevard, Bangor, ME, 04401 Homes for sale",Public district,PK-3,307.0,16:1,5 reviews,Bangor Public Schools
6,"3/10Below averageBangor High School885 Broadway, Bangor, ME, 04401 Homes for sale",Public district,9-12,1193.0,17:1,8 reviews,Bangor Public Schools
7,"Currently unratedGood Samaritan Agency Dc100 Ridgewood Drive, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
8,"Currently unratedYmca Bangor Day Care Center17 2nd Street, Bangor, ME, 04401 Homes for sale",Private,PK-K,,,No reviews yet,
9,"Currently unratedCynthia Birmingham Day Care1315 Pushaw Road, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
10,"Currently unratedLittle Angels Pre-School1476 Broadway, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
11,"Currently unratedNancy Chapman Day Care150 Lancaster Ave, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
12,"Currently unratedLinda J Arsenault Day Care1620 Essex St, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
13,"Currently unratedAll Saints Catholic Cc-St MaryPo Box 1749, Bangor, ME, 04402 Homes for sale",Private,PK,,,No reviews yet,
14,"Currently unratedYwca Discovery Friend Dc17 2nd Street, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
15,"Currently unratedPumpkin Patch Day Care19 Elizabeth Avenue, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
16,"Currently unratedMarilyn J Brown Day Care21 Crestmont Rd, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
17,"Currently unratedSmall World Day Care Center21 Forest Ave, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
18,"Currently unratedTamara M Boulier Day Care24 Hillview Drive, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedJumping Jacks Day Care Center240 State St, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedKid's Corner274 Buck Street, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
21,"Currently unratedBlue School Day Care-Bangor Ps1000 State Street, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
22,"Currently unratedGram's Day Care38 Princeton Street, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
23,"Currently unratedWing Park Child Center412 State St, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
24,"Currently unratedCozy Corner Day Care493 Finson Road, Bangor, ME, 04401 Homes for sale",Private,PK,,,No reviews yet,
0,"10/10Top ratedBaton Rouge Magnet High School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Louisiana2825 Government Street, Baton Rouge, LA, 70808 Homes for sale",Public district,9-12,1499.0,25:1,9 reviews,East Baton Rouge Parish School District
1,"10/10Top ratedB. R. Foreign Language Academy Immersion Magnet802 Mayflower Street, Baton Rouge, LA, 70802 Homes for sale",Public district,PK-5,410.0,13:1,15 reviews,East Baton Rouge Parish School District
2,"10/10Top ratedWestdale Heights Academic Magnet School2000 College Drive, Baton Rouge, LA, 70808 Homes for sale",Public district,PK-5,443.0,15:1,2 reviews,East Baton Rouge Parish School District
3,"9/10Above averageWoodlawn Elementary School8160 Antioch Road, Baton Rouge, LA, 70817 Homes for sale",Public district,PK-5,671.0,15:1,10 reviews,East Baton Rouge Parish School District
4,"9/10Above averageShenandoah Elementary School16555 Appomattox Avenue, Baton Rouge, LA, 70816 Homes for sale",Public district,PK-5,624.0,15:1,18 reviews,East Baton Rouge Parish School District
5,"9/10Above averageSherwood Middle Academic Academy1020 Marlbrook Drive, Baton Rouge, LA, 70815 Homes for sale",Public district,6-8,767.0,15:1,11 reviews,East Baton Rouge Parish School District
6,"9/10Above averageLiberty High School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Louisiana1105 Lee Drive, Baton Rouge, LA, 70808 Homes for sale",Public district,9-12,1025.0,15:1,No reviews yet,East Baton Rouge Parish School District
7,"9/10Above averageMayfair Laboratory School9880 Hyacinth Avenue, Baton Rouge, LA, 70810 Homes for sale",Public district,K-8,389.0,14:1,3 reviews,East Baton Rouge Parish School District
8,"9/10Above averageLsu Laboratory School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Louisiana45 Dalrymple Drive, Baton Rouge, LA, 70808 Homes for sale",Public district,K-12,1441.0,13:1,6 reviews,Lsu Laboratory School
9,"8/10Above averageCentral Middle School12656 Sullivan Road, Baton Rouge, LA, 70818 Homes for sale",Public district,6-8,1069.0,15:1,1 review,Central Community School District
10,"8/10Above averageAudubon Elementary School10730 Goodwood Boulevard, Baton Rouge, LA, 70815 Homes for sale",Public district,PK-5,534.0,15:1,5 reviews,East Baton Rouge Parish School District
11,"8/10Above averageCrestworth Elementary School11200 Avenue F, Baton Rouge, LA, 70807 Homes for sale",Public district,PK-5,314.0,13:1,No reviews yet,East Baton Rouge Parish School District
12,"8/10Above averageCentral Intermediate School12636 Sullivan Road, Baton Rouge, LA, 70818 Homes for sale",Public district,3-5,1116.0,16:1,8 reviews,Central Community School District
13,"8/10Above averageParkview Elementary School5660 Parkforest Drive, Baton Rouge, LA, 70816 Homes for sale",Public district,PK-5,601.0,15:1,9 reviews,East Baton Rouge Parish School District
14,"8/10Above averageBaton Rouge Visual And Performing Arts Center2040 South Acadian Thruway, Baton Rouge, LA, 70808 Homes for sale",Public district,PK-5,440.0,15:1,7 reviews,East Baton Rouge Parish School District
15,"7/10Above averageBrownfields Elementary School11615 Ellen Drive, Baton Rouge, LA, 70811 Homes for sale",Public district,PK-5,294.0,12:1,1 review,East Baton Rouge Parish School District
16,"7/10Above averageBuchanan Elementary School1222 East Buchanan Street, Baton Rouge, LA, 70802 Homes for sale",Public district,PK-5,378.0,12:1,4 reviews,East Baton Rouge Parish School District
17,"7/10Above averageLasalle Elementary School8000 Lasalle Avenue, Baton Rouge, LA, 70806 Homes for sale",Public district,PK-5,514.0,16:1,6 reviews,East Baton Rouge Parish School District
18,"7/10Above averageMckinley Middle Magnet School1550 Eddie Robinson Sr Drive, Baton Rouge, LA, 70802 Homes for sale",Public district,6-8,753.0,16:1,13 reviews,East Baton Rouge Parish School District
19,"7/10Above averageCelerity Lanier Charter School4705 Lanier Drive, Baton Rouge, LA, 70812 Homes for sale",Public charter,PK-7,257.0,,No reviews yet,"RSD-Celerity Schools Louisiana, Inc."
20,"7/10Above averageEBR Virtual Academy6650 Cedar Grove Drive, Baton Rouge, LA, 70812 Homes for sale",Public district,12,11.0,,No reviews yet,East Baton Rouge Parish School District
21,"6/10AverageWoodlawn Middle School14939 Tiger Bend Road, Baton Rouge, LA, 70817 Homes for sale",Public district,6-8,899.0,12:1,9 reviews,East Baton Rouge Parish School District
22,"6/10AverageCentral High School2 awardsAwards & BadgesCollege Success Award2019, 2020See all winners in Louisiana10200 East Brookside Drive, Baton Rouge, LA, 70818 Homes for sale",Public district,9-12,1330.0,17:1,2 reviews,Central Community School District
23,"6/10AverageBroadmoor Elementary School4510 Bawell Street, Baton Rouge, LA, 70808 Homes for sale",Public district,PK-5,495.0,13:1,1 review,East Baton Rouge Parish School District
24,"6/10AverageCedarcrest-Southmoor Elementary School10187 Twin Cedars Street, Baton Rouge, LA, 70816 Homes for sale",Public district,PK-5,643.0,15:1,5 reviews,East Baton Rouge Parish School District
0,"8/10Above averageMackensen Elementary School5535 Dennis Drive, Bay City, MI, 48706 Homes for sale",Public district,K-12,326.0,23:1,1 review,Bay City School District
1,"7/10Above averageJohn Glenn High School3 awardsAwards & BadgesCollege Success Award2018, 2019, 2020See all winners in Michigan3201 Kiesel Road, Bay City, MI, 48706 Homes for sale",Public district,9-12,850.0,22:1,7 reviews,Bangor Township Schools
2,"6/10AverageBangor Central School208 State Park Drive, Bay City, MI, 48706 Homes for sale",Public district,K-5,341.0,15:1,2 reviews,Bangor Township Schools
3,"6/10AverageBangor West Central School3175 Wilder Road, Bay City, MI, 48706 Homes for sale",Public district,K-5,334.0,21:1,No reviews yet,Bangor Township Schools
4,"6/10AverageBay City Central High School1624 Columbus Avenue, Bay City, MI, 48708 Homes for sale",Public district,9-12,1157.0,20:1,3 reviews,Bay City School District
5,"5/10AverageChrista McAuliffe Middle School3281 Kiesel Road, Bay City, MI, 48706 Homes for sale",Public district,6-12,638.0,21:1,3 reviews,Bangor Township Schools
6,"5/10AverageBangor Lincoln School2771 North Euclid Avenue, Bay City, MI, 48706 Homes for sale",Public district,K-5,321.0,20:1,2 reviews,Bangor Township Schools
7,"5/10AverageLinsday Elementary School607 Lasalle Street, Bay City, MI, 48706 Homes for sale",Public district,K-5,260.0,15:1,2 reviews,Bay City School District
8,"5/10AverageBay County PSA1110 State Street, Bay City, MI, 48706 Homes for sale",Public charter,K-5,101.0,11:1,5 reviews,Bay County Psa
9,"5/10AverageBay City Academy - Farragut Campus301 North Farragut Street, Bay City, MI, 48708 Homes for sale",Public charter,K-5,197.0,15:1,1 review,Bay City Academy
10,"4/10Below averageHampton Elementary School1908 West Youngs Ditch Road, Bay City, MI, 48708 Homes for sale",Public district,K-5,450.0,18:1,3 reviews,Bay City School District
11,"4/10Below averageMcalear-Sawden Elementary School2300 Midland Road, Bay City, MI, 48706 Homes for sale",Public district,K-5,465.0,20:1,1 review,Bay City School District
12,"4/10Below averageKolb Elementary School305 West Crump Street, Bay City, MI, 48706 Homes for sale",Public district,K-5,578.0,20:1,4 reviews,Bay City School District
13,"4/10Below averageMacgregor Elementary School1012 Fremont Avenue, Bay City, MI, 48708 Homes for sale",Public district,K-12,414.0,17:1,No reviews yet,Bay City School District
14,"3/10Below averageHandy Middle School601 Blend Street, Bay City, MI, 48706 Homes for sale",Public district,6-12,928.0,17:1,1 review,Bay City School District
15,"2/10Below averageWashington Elementary School1821 Mckinley Street, Bay City, MI, 48708 Homes for sale",Public district,K-5,422.0,18:1,5 reviews,Bay City School District
16,"2/10Below averageIsd-Local Programs4228 2 Mile Road, Bay City, MI, 48706 Homes for sale",Public district,K-12,106.0,24:1,No reviews yet,Bay-Arenac Independent School District
17,"Currently unratedLil' Achievers Day CareBirnbaum Drive, Bay City, MI, 48706 Homes for sale",Private,PK,,,No reviews yet,
18,"Currently unratedLeeanns Day Care3341 Lauria Road, Bay City, MI, 48706 Homes for sale",Private,PK,,,No reviews yet,
19,"Currently unratedWiggles & Giggles Day Care513 South Madison Avenue, Bay City, MI, 48708 Homes for sale",Private,PK,,,No reviews yet,
20,"Currently unratedEmily's Playmate's Day Care408 South Madison Avenue, Bay City, MI, 48708 Homes for sale",Private,PK,,,2 reviews,
21,"Currently unratedLittle Learners Day Care1694 Cass Avenue, Bay City, MI, 48708 Homes for sale",Private,PK,,,No reviews yet,
22,"Currently unratedBangor Township Virtual School3359 East Midland Road, Bay City, MI, 48706 Homes for sale",Public district,K-12,109.0,69:1,No reviews yet,Bangor Township Schools
23,"Currently unratedSt. Stanislaus Elementary School900 South Grant, Bay City, MI, 48708 Homes for sale",Private,PK-5,69.0,,No reviews yet,
24,"Currently unratedHoly Trinity School1004 South Wenona Street, Bay City, MI, 48706 Homes for sale",Private,PK-5,106.0,,1 review,
0,"7/10Above averageBeaumont Isd Early College High S3395 Harrison Avenue, Beaumont, TX, 77706 Homes for sale",Public district,9-12,127.0,,No reviews yet,Beaumont Independent School District
1,"7/10Above averageHamshire-Fannett Elementary School23395 Burrell-Wingate Road, Beaumont, TX, 77705 Homes for sale",Public district,PK-3,625.0,18:1,1 review,Hamshire-Fannett Independent School District
2,"6/10AverageHamshire-Fannett Intermediate School11407 Dugat Road, Beaumont, TX, 77705 Homes for sale",Public district,4-6,450.0,15:1,1 review,Hamshire-Fannett Independent School District
3,"6/10AverageThe Ehrhart School3380 Fannin St, Beaumont, TX, 77701 Homes for sale",Public charter,PK-8,387.0,8:1,6 reviews,Ehrhart School
4,"5/10AverageHarmony Science Academy- Beaumont1 awardAwards & BadgesCollege Success Award2020See all winners in Texas4055 Calder Avenue, Beaumont, TX, 77706 Homes for sale",Public charter,K-12,551.0,15:1,2 reviews,Harmony School Of Science - Houston
5,"5/10AverageHamshire-Fannett Middle School11375 Dugat Road, Beaumont, TX, 77705 Homes for sale",Public district,7-8,303.0,19:1,2 reviews,Hamshire-Fannett Independent School District
6,"5/10AverageCurtis Elementary School6225 North Circuit Drive, Beaumont, TX, 77706 Homes for sale",Public district,PK-5,571.0,17:1,5 reviews,Beaumont Independent School District
7,"5/10AverageOdom Middle School2550 West Virginia Street, Beaumont, TX, 77705 Homes for sale",Public district,6-8,847.0,18:1,5 reviews,Beaumont Independent School District
8,"4/10Below averageBlanchette Elementary School2550 Sarah Street, Beaumont, TX, 77705 Homes for sale",Public district,PK-5,628.0,18:1,2 reviews,Beaumont Independent School District
9,"4/10Below averageCharlton-Pollard El825 Jackson Street, Beaumont, TX, 77701 Homes for sale",Public district,PK-5,489.0,17:1,No reviews yet,Beaumont Independent School District
10,"4/10Below averageCaldwood Elementary School102 Berkshire Lane, Beaumont, TX, 77707 Homes for sale",Public district,PK-5,616.0,18:1,4 reviews,Beaumont Independent School District
11,"4/10Below averageWest Brook Sr High School8750 Phelan Boulevard, Beaumont, TX, 77706 Homes for sale",Public district,9-12,2435.0,19:1,6 reviews,Beaumont Independent School District
12,"4/10Below averageMarshall Middle School6455 Gladys Avenue, Beaumont, TX, 77706 Homes for sale",Public district,6-8,849.0,17:1,4 reviews,Beaumont Independent School District
13,"4/10Below averageRegina Howell Elementary School5850 Regina Lane, Beaumont, TX, 77706 Homes for sale",Public district,PK-5,812.0,19:1,5 reviews,Beaumont Independent School District
14,"4/10Below averageDishman Elementary School3475 Champions Drive, Beaumont, TX, 77707 Homes for sale",Public district,PK-5,586.0,18:1,9 reviews,Beaumont Independent School District
15,"3/10Below averageAmelia Elementary School565 South Major Drive, Beaumont, TX, 77707 Homes for sale",Public district,PK-5,767.0,18:1,1 review,Beaumont Independent School District
16,"3/10Below averageGuess Elementary School8055 Old Voth Road, Beaumont, TX, 77708 Homes for sale",Public district,PK-5,558.0,17:1,6 reviews,Beaumont Independent School District
17,"3/10Below averageVincent Middle School350 Eldridge Drive, Beaumont, TX, 77707 Homes for sale",Public district,6-8,603.0,14:1,5 reviews,Beaumont Independent School District
18,"3/10Below averageOzen High School3443 Fannett Road, Beaumont, TX, 77705 Homes for sale",Public district,9-12,1076.0,16:1,7 reviews,Beaumont Independent School District
19,"2/10Below averageFehl-Price El3350 Blanchette Street, Beaumont, TX, 77701 Homes for sale",Public district,PK-5,681.0,18:1,1 review,Beaumont Independent School District
20,"2/10Below averageCentral Senior High School88 Jaguar Drive, Beaumont, TX, 77702 Homes for sale",Public district,9-12,1193.0,17:1,4 reviews,Beaumont Independent School District
21,"2/10Below averageM L King Middle School1400 Avenue A, Beaumont, TX, 77701 Homes for sale",Public district,6-8,662.0,15:1,3 reviews,Beaumont Independent School District
22,"2/10Below averageSouth Park Middle School4500 Highland Avenue, Beaumont, TX, 77705 Homes for sale",Public district,6-8,472.0,16:1,4 reviews,Beaumont Independent School District
23,"2/10Below averageHomer Dr Elementary School8950 Homer Drive, Beaumont, TX, 77708 Homes for sale",Public district,PK-5,701.0,17:1,2 reviews,Beaumont Independent School District
24,"2/10Below averagePietzsch/Mac Arthur Elementary School4301 Highland Avenue, Beaumont, TX, 77705 Homes for sale",Public district,PK-5,881.0,16:1,No reviews yet,Beaumont Independent School District
0,"10/10Top ratedBennett Elementary School301 151st Place Northeast, Bellevue, WA, 98007 Homes for sale",Public district,PK-5,435.0,15:1,6 reviews,Bellevue School District
1,"10/10Top ratedNewport Senior High School1 awardAwards & BadgesCollege Success Award2020See all winners in Washington4333 Factoria Boulevard Southeast, Bellevue, WA, 98006 Homes for sale",Public district,9-12,1834.0,19:1,19 reviews,Bellevue School District
2,"10/10Top ratedSomerset Elementary School14100 Somerset Boulevard Southeast, Bellevue, WA, 98006 Homes for sale",Public district,K-5,721.0,17:1,6 reviews,Bellevue School District
3,"10/10Top ratedJing Mei Elementary12635 SE 56th Street, Bellevue, WA, 98006 Homes for sale",Public district,PK-5,369.0,13:1,13 reviews,Bellevue School District
4,"9/10Above averageCherry Crest Elementary School12400 Northeast 32nd Street, Bellevue, WA, 98005 Homes for sale",Public district,PK-5,649.0,18:1,11 reviews,Bellevue School District
5,"9/10Above averageInternational School445 128th Avenue Southeast, Bellevue, WA, 98005 Homes for sale",Public district,6-12,578.0,17:1,5 reviews,Bellevue School District
